day,bucket,status
2023-11-03,1,MISSING_FEATURE_LEGS
2023-11-10,1,MISSING_FEATURE_LEGS
2023-11-17,1,MISSING_FEATURE_LEGS
2023-11-24,1,MISSING_FEATURE_LEGS
2023-12-01,1,MISSING_FEATURE_LEGS
2023-12-08,1,MISSING_FEATURE_LEGS
2023-12-15,1,MISSING_FEATURE_LEGS
2023-12-29,1,MISSING_FEATURE_LEGS
2024-01-05,1,MISSING_FEATURE_LEGS
2024-01-12,1,MISSING_FEATURE_LEGS
2024-01-19,1,MISSING_FEATURE_LEGS
2024-01-20,1,MISSING_FEATURE_LEGS
2024-02-02,1,MISSING_FEATURE_LEGS
2024-02-09,1,MISSING_FEATURE_LEGS
2024-02-16,1,MISSING_FEATURE_LEGS
2024-02-23,1,MISSING_FEATURE_LEGS
2024-03-01,1,MISSING_FEATURE_LEGS
2024-03-02,1,MISSING_FEATURE_LEGS
2024-03-15,1,MISSING_FEATURE_LEGS
2024-03-22,1,MISSING_FEATURE_LEGS
2024-04-05,1,MISSING_FEATURE_LEGS
2024-04-12,1,MISSING_FEATURE_LEGS
2024-04-19,1,MISSING_FEATURE_LEGS
2024-04-26,1,MISSING_FEATURE_LEGS
2024-05-03,1,MISSING_FEATURE_LEGS
2024-05-10,1,MISSING_FEATURE_LEGS
2024-05-17,1,MISSING_FEATURE_LEGS
2024-05-18,1,MISSING_FEATURE_LEGS
2024-05-24,1,MISSING_FEATURE_LEGS
2024-05-31,1,MISSING_FEATURE_LEGS
2024-06-07,1,MISSING_FEATURE_LEGS
2024-06-14,1,MISSING_FEATURE_LEGS
2024-06-21,1,MISSING_FEATURE_LEGS
2024-06-28,1,MISSING_FEATURE_LEGS
2024-07-05,1,MISSING_FEATURE_LEGS
2024-07-12,1,MISSING_FEATURE_LEGS
2024-07-19,1,MISSING_FEATURE_LEGS
2024-07-26,1,MISSING_FEATURE_LEGS
2024-08-02,1,MISSING_FEATURE_LEGS
2024-08-09,1,MISSING_FEATURE_LEGS
2024-08-16,1,MISSING_FEATURE_LEGS
2024-08-23,1,MISSING_FEATURE_LEGS
2024-08-30,1,MISSING_FEATURE_LEGS
2024-09-06,1,MISSING_FEATURE_LEGS
2024-09-13,1,MISSING_FEATURE_LEGS
2024-09-20,1,MISSING_FEATURE_LEGS
2024-09-27,1,MISSING_FEATURE_LEGS
2024-10-04,1,MISSING_FEATURE_LEGS
2024-10-11,1,MISSING_FEATURE_LEGS
2024-10-18,1,MISSING_FEATURE_LEGS
2024-10-25,1,MISSING_FEATURE_LEGS
2024-11-08,1,MISSING_FEATURE_LEGS
2024-11-22,1,MISSING_FEATURE_LEGS
2024-11-29,1,MISSING_FEATURE_LEGS
2024-12-06,1,MISSING_FEATURE_LEGS
2024-12-13,1,MISSING_FEATURE_LEGS
2024-12-20,1,MISSING_FEATURE_LEGS
2024-12-27,1,MISSING_FEATURE_LEGS
2025-01-03,1,MISSING_FEATURE_LEGS
2025-01-10,1,MISSING_FEATURE_LEGS
2025-01-17,1,MISSING_FEATURE_LEGS
2025-01-24,1,MISSING_FEATURE_LEGS
2025-01-31,1,MISSING_FEATURE_LEGS
2025-02-01,1,MISSING_FEATURE_LEGS
2025-02-07,1,MISSING_FEATURE_LEGS
2025-02-14,1,MISSING_FEATURE_LEGS
2025-02-21,1,MISSING_FEATURE_LEGS
2025-02-28,1,MISSING_FEATURE_LEGS
2025-03-07,1,MISSING_FEATURE_LEGS
2025-03-21,1,MISSING_FEATURE_LEGS
2025-03-28,1,MISSING_FEATURE_LEGS
2025-04-04,1,MISSING_FEATURE_LEGS
2025-04-07,1,MISSING_FEATURE_LEGS
2025-04-11,1,MISSING_FEATURE_LEGS
2025-04-25,1,MISSING_FEATURE_LEGS
2025-05-02,1,MISSING_FEATURE_LEGS
2025-05-09,1,MISSING_FEATURE_LEGS
2025-05-16,1,MISSING_FEATURE_LEGS
2025-05-23,1,MISSING_FEATURE_LEGS
2025-05-30,1,MISSING_FEATURE_LEGS
2025-06-06,1,MISSING_FEATURE_LEGS
2025-06-13,1,MISSING_FEATURE_LEGS
2025-06-16,0,INVALID_FEATURE_VALUES
2025-06-20,1,MISSING_FEATURE_LEGS
2025-06-27,1,MISSING_FEATURE_LEGS
2025-07-04,1,MISSING_FEATURE_LEGS
2025-07-11,1,MISSING_FEATURE_LEGS
2025-07-18,1,MISSING_FEATURE_LEGS
2025-07-25,1,MISSING_FEATURE_LEGS
2025-08-01,1,MISSING_FEATURE_LEGS
2025-08-08,1,MISSING_FEATURE_LEGS
2025-08-22,1,MISSING_FEATURE_LEGS
2025-08-29,1,MISSING_FEATURE_LEGS
2025-09-03,1,MISSING_FEATURE_LEGS
2025-09-04,1,MISSING_FEATURE_LEGS
2025-09-05,1,MISSING_FEATURE_LEGS
2025-09-10,1,MISSING_FEATURE_LEGS
2025-09-11,1,MISSING_FEATURE_LEGS
2025-09-12,1,MISSING_FEATURE_LEGS
2025-09-17,1,MISSING_FEATURE_LEGS
2025-09-18,0,INVALID_FEATURE_VALUES
2025-09-18,1,MISSING_FEATURE_LEGS
2025-09-19,1,MISSING_FEATURE_LEGS
2025-09-24,1,MISSING_FEATURE_LEGS
2025-09-25,1,MISSING_FEATURE_LEGS
2025-09-26,1,MISSING_FEATURE_LEGS
2025-10-01,1,MISSING_FEATURE_LEGS
2025-10-03,1,MISSING_FEATURE_LEGS
2025-10-08,1,MISSING_FEATURE_LEGS
2025-10-09,1,MISSING_FEATURE_LEGS
2025-10-13,1,MISSING_FEATURE_LEGS
2025-10-14,1,MISSING_FEATURE_LEGS
2025-10-15,0,MISSING_FEATURE_LEGS
2025-10-15,1,MISSING_FEATURE_LEGS
2025-10-16,0,MISSING_FEATURE_LEGS
2025-10-16,1,MISSING_FEATURE_LEGS
2025-10-17,0,MISSING_FEATURE_LEGS
2025-10-17,1,MISSING_FEATURE_LEGS
2025-10-20,1,MISSING_FEATURE_LEGS
2025-10-23,1,MISSING_FEATURE_LEGS
2025-10-24,1,MISSING_FEATURE_LEGS
2025-10-28,1,INVALID_FEATURE_VALUES
2025-10-29,1,MISSING_FEATURE_LEGS
2025-10-30,1,MISSING_FEATURE_LEGS
2025-10-31,1,MISSING_FEATURE_LEGS
2025-11-03,0,INVALID_FEATURE_VALUES
2025-11-03,1,INVALID_FEATURE_VALUES
2025-11-06,1,MISSING_FEATURE_LEGS
2025-11-07,1,MISSING_FEATURE_LEGS
2025-11-12,0,INVALID_FEATURE_VALUES
2025-11-12,1,MISSING_FEATURE_LEGS
2025-11-13,1,MISSING_FEATURE_LEGS
2025-11-14,1,MISSING_FEATURE_LEGS
2025-11-19,1,MISSING_FEATURE_LEGS
2025-11-20,1,MISSING_FEATURE_LEGS
2025-11-21,1,MISSING_FEATURE_LEGS
2025-11-26,1,MISSING_FEATURE_LEGS
2025-11-27,1,MISSING_FEATURE_LEGS
2025-11-28,0,INVALID_FEATURE_VALUES
2025-11-28,1,MISSING_FEATURE_LEGS
2025-12-03,1,MISSING_FEATURE_LEGS
2025-12-04,1,MISSING_FEATURE_LEGS
2025-12-05,1,MISSING_FEATURE_LEGS
2025-12-10,1,MISSING_FEATURE_LEGS
2025-12-11,1,MISSING_FEATURE_LEGS
2025-12-12,1,MISSING_FEATURE_LEGS
2025-12-17,1,MISSING_FEATURE_LEGS
2025-12-18,1,MISSING_FEATURE_LEGS
2025-12-19,1,MISSING_FEATURE_LEGS
