day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl
2021-07-02,2021-07-08,0,VOL_IMB,0.2,CALL,base,367.50000000000045,327.5000000000002,40.00000000000023,103.60087948500001,223.89912051500022
2021-07-07,2021-07-08,0,VOL_IMB,0.2,CALL,base,902.5000000000001,862.4999999999998,40.000000000000355,99.249865845,763.2501341549997
2021-07-12,2021-07-15,0,VOL_IMB,0.2,CALL,base,-1260.0,-1300.0,39.99999999999994,98.87728933,-1398.87728933
2021-07-15,2021-07-15,0,VOL_IMB,0.2,CALL,base,335.00000000000006,295.0000000000001,39.99999999999994,96.74142291,198.25857709000013
2021-07-30,2021-08-05,0,VOL_IMB,0.2,CALL,base,-565.0000000000001,-605.0000000000003,40.000000000000256,101.80311652,-706.8031165200003
2021-08-05,2021-08-05,0,VOL_IMB,0.2,PUT,base,-1167.5,-1207.5,40.00000000000003,95.373655785,-1302.873655785
2021-08-10,2021-08-12,0,VOL_IMB,0.2,CALL,base,-842.5,-882.5000000000002,40.0000000000002,100.067406705,-982.5674067050002
2021-08-13,2021-08-18,0,VOL_IMB,0.2,CALL,base,2007.5,1967.5,40.0,105.98113495499999,1861.518865045
2021-08-17,2021-08-18,0,VOL_IMB,0.2,CALL,base,352.5,312.4999999999997,40.000000000000306,98.718198655,213.78180134499974
2021-08-18,2021-08-18,0,VOL_IMB,0.2,CALL,base,-1030.0,-1070.0,40.0,94.97325245,-1164.97325245
2021-08-24,2021-08-26,0,VOL_IMB,0.2,CALL,base,1860.0000000000002,1820.0,40.0000000000002,104.17834038,1715.82165962
2021-08-25,2021-08-26,0,VOL_IMB,0.2,CALL,base,-1512.5,-1552.4999999999998,39.99999999999977,96.65175615499999,-1649.1517561549997
2021-09-01,2021-09-02,0,VOL_IMB,0.2,CALL,base,-2020.0,-2060.0,40.0,97.05396861999999,-2157.05396862
2021-09-03,2021-09-09,0,VOL_IMB,0.2,CALL,base,642.4999999999998,602.4999999999991,40.000000000000625,108.00081554500001,494.49918445499907
2021-09-13,2021-09-16,0,VOL_IMB,0.2,PUT,base,-1022.5000000000001,-1062.5000000000005,40.00000000000023,103.005739875,-1165.5057398750005
2021-09-14,2021-09-16,0,VOL_IMB,0.2,CALL,base,-980.0,-1020.0,40.0,98.28340514000001,-1118.28340514
2021-09-17,2021-09-23,0,VOL_IMB,0.2,CALL,base,-2022.5000000000005,-2062.500000000001,40.000000000000455,103.04592658499999,-2165.545926585001
2021-09-23,2021-09-23,0,VOL_IMB,0.2,CALL,base,5137.5,5097.5,40.00000000000001,104.05990915499999,4993.440090845
2021-09-28,2021-09-30,0,VOL_IMB,0.2,PUT,base,1095.0000000000002,1055.0,40.000000000000156,106.59591738,948.40408262
2021-09-30,2021-09-30,0,VOL_IMB,0.2,PUT,base,-892.5,-932.5,40.00000000000003,97.668197335,-1030.168197335
2021-10-05,2021-10-07,0,VOL_IMB,0.2,PUT,base,-2147.5000000000005,-2187.5000000000005,40.0,100.447673765,-2287.9476737650007
2021-10-07,2021-10-07,0,VOL_IMB,0.2,CALL,base,-1987.5,-2027.5000000000005,40.00000000000044,95.64057259500001,-2123.1405725950003
2021-10-12,2021-10-14,0,VOL_IMB,0.2,PUT,base,-860.0000000000006,-900.0000000000009,40.00000000000034,104.30456575,-1004.3045657500008
2021-10-13,2021-10-14,0,VOL_IMB,0.2,CALL,base,1522.5,1482.4999999999998,40.0000000000002,102.808582515,1379.6914174849999
2021-10-14,2021-10-14,0,VOL_IMB,0.2,CALL,base,642.5,602.4999999999999,40.00000000000012,97.50637668499999,504.9936233149999
2021-10-18,2021-10-21,0,VOL_IMB,0.2,CALL,base,-64.99999999999972,-105.00000000000006,40.00000000000034,107.18593953999999,-212.18593954000005
2021-10-19,2021-10-21,0,VOL_IMB,0.2,CALL,base,-1805.0,-1845.0,40.0,99.75164348,-1944.75164348
2021-10-20,2021-10-21,0,VOL_IMB,0.2,PUT,base,1439.9999999999998,1399.9999999999995,40.00000000000017,105.60132487999999,1294.3986751199996
2021-10-22,2021-10-28,0,VOL_IMB,0.2,CALL,base,-1785.0000000000002,-1825.0,39.99999999999977,107.27662586999999,-1932.27662587
2021-10-26,2021-10-28,0,VOL_IMB,0.2,CALL,base,452.5000000000002,412.4999999999998,40.0000000000004,108.447795265,304.0522047349998
2021-10-27,2021-10-28,0,VOL_IMB,0.2,CALL,base,-1924.9999999999995,-1965.0,40.000000000000455,100.7902936,-2065.7902936
2021-11-03,2021-11-11,0,VOL_IMB,0.2,PUT,base,1325.0,1285.0000000000007,39.99999999999932,116.78361594,1168.2163840600006
2021-11-08,2021-11-11,0,VOL_IMB,0.2,PUT,base,-2385.0,-2425.0000000000005,40.00000000000023,102.2868315,-2527.2868315000005
2021-11-09,2021-11-11,0,VOL_IMB,0.2,CALL,base,-777.5000000000001,-817.5000000000002,40.000000000000114,102.678388555,-920.1783885550002
2021-11-11,2021-11-11,0,VOL_IMB,0.2,PUT,base,275.0000000000002,234.99999999999994,40.000000000000284,98.39942711999998,136.60057287999996
2021-11-12,2021-11-18,0,VOL_IMB,0.2,CALL,base,1857.500000000001,1817.500000000001,40.0,114.896978735,1702.603021265001
2021-11-18,2021-11-18,0,VOL_IMB,0.2,PUT,base,1517.5,1477.4999999999995,40.000000000000455,100.75653504499999,1376.7434649549996
2021-11-23,2021-11-25,0,VOL_IMB,0.2,CALL,base,2384.9999999999995,2345.0,39.99999999999977,115.69891746000002,2229.30108254
2021-11-24,2021-11-25,0,VOL_IMB,0.2,CALL,base,-2572.4999999999995,-2612.5,40.000000000000455,98.377833095,-2710.877833095
2021-11-30,2021-12-02,0,VOL_IMB,0.2,CALL,base,-3177.499999999999,-3217.5,40.00000000000114,102.04887060499999,-3319.548870605
2021-12-01,2021-12-02,0,VOL_IMB,0.2,CALL,base,-1099.9999999999995,-1140.0,40.00000000000034,101.62265191,-1241.62265191
2021-12-02,2021-12-02,0,VOL_IMB,0.2,CALL,base,4610.0,4570.0,40.00000000000003,105.37266028,4464.62733972
2021-12-06,2021-12-09,0,VOL_IMB,0.2,PUT,base,3080.0,3040.0000000000014,39.999999999998636,124.47151351000001,2915.5284864900013
2021-12-10,2021-12-16,0,VOL_IMB,0.2,CALL,base,-87.5,-127.49999999999909,39.99999999999909,112.647658465,-240.1476584649991
2021-12-13,2021-12-16,0,VOL_IMB,0.2,CALL,base,-2547.5,-2587.5000000000005,40.000000000000455,101.178560095,-2688.6785600950006
2021-12-14,2021-12-16,0,VOL_IMB,0.2,CALL,base,-515.0000000000005,-555.0000000000006,40.00000000000017,105.07144018,-660.0714401800005
2021-12-15,2021-12-16,0,VOL_IMB,0.2,PUT,base,-42.49999999999994,-82.50000000000006,40.000000000000114,103.80637677499999,-186.30637677500005
2021-12-16,2021-12-16,0,VOL_IMB,0.2,PUT,base,1747.5,1707.4999999999995,40.000000000000426,100.923857085,1606.5761429149995
2021-12-17,2021-12-23,0,VOL_IMB,0.2,PUT,base,1752.500000000001,1712.5000000000018,39.99999999999909,121.696719315,1590.803280685002
2021-12-20,2021-12-23,0,VOL_IMB,0.2,PUT,base,500.0,460.0000000000008,39.999999999999204,115.37494655,344.6250534500008
2021-12-21,2021-12-23,0,VOL_IMB,0.2,PUT,base,-392.5000000000002,-432.5000000000007,40.000000000000455,107.424477825,-539.9244778250006
2021-12-24,2021-12-30,0,VOL_IMB,0.2,PUT,base,840.0,799.9999999999999,40.000000000000114,114.92635411,685.0736458899999
2021-12-27,2021-12-30,0,VOL_IMB,0.2,CALL,base,2274.999999999999,2235.0,39.99999999999909,116.67270253000001,2118.32729747
2021-12-29,2021-12-30,0,VOL_IMB,0.2,CALL,base,-772.5,-812.5000000000005,40.0000000000004,100.491760985,-912.9917609850005
2021-12-31,2022-01-06,0,VOL_IMB,0.2,CALL,base,500.0000000000007,460.0000000000016,39.99999999999915,114.2827441,345.7172559000016
2022-01-06,2022-01-06,0,VOL_IMB,0.2,PUT,base,-1850.0,-1890.0,40.0,95.64451654999999,-1985.64451655
2022-01-07,2022-01-13,0,VOL_IMB,0.2,CALL,base,-775.0,-814.9999999999998,39.99999999999977,112.16781936,-927.1678193599997
2022-01-11,2022-01-13,0,VOL_IMB,0.2,CALL,base,434.9999999999998,394.99999999999955,40.0000000000002,106.28511272,288.7148872799995
2022-01-14,2022-01-20,0,VOL_IMB,0.2,PUT,base,-1132.5000000000002,-1172.5000000000005,40.00000000000023,107.316552005,-1279.8165520050004
2022-01-24,2022-01-27,0,VOL_IMB,0.2,PUT,base,3349.999999999999,3310.000000000002,39.99999999999727,130.64443451,3179.355565490002
2022-01-28,2022-02-03,0,VOL_IMB,0.2,CALL,base,-1124.999999999999,-1164.9999999999977,39.999999999998636,125.18815682000002,-1290.1881568199979
2022-02-02,2022-02-03,0,VOL_IMB,0.2,CALL,base,312.5,272.49999999999983,40.00000000000017,103.839121675,168.66087832499983
2022-02-08,2022-02-10,0,VOL_IMB,0.2,CALL,base,22.500000000000114,-17.500000000000227,40.00000000000034,108.578525175,-126.07852517500022
2022-02-10,2022-02-10,0,VOL_IMB,0.2,PUT,base,-1872.5,-1907.5,35.0,95.722010945,-2003.222010945
2022-02-17,2022-02-17,0,VOL_IMB,0.2,PUT,base,-1602.5,-1642.4999999999995,39.99999999999943,98.825044745,-1741.3250447449996
2022-02-21,2022-02-24,0,VOL_IMB,0.2,PUT,base,-745.0000000000002,-784.9999999999995,39.99999999999932,117.16931926999999,-902.1693192699995
2022-02-28,2022-03-03,0,VOL_IMB,0.2,PUT,base,-1767.499999999999,-1807.4999999999982,39.99999999999909,122.39236470499999,-1929.8923647049983
2022-03-02,2022-03-03,0,VOL_IMB,0.2,CALL,base,-1240.0000000000005,-1280.0000000000005,40.0,113.6247509,-1393.6247509000004
2022-03-04,2022-03-10,0,VOL_IMB,0.2,PUT,base,-7.499999999998863,-47.49999999999659,39.999999999997726,135.934103805,-183.4341038049966
2022-03-09,2022-03-10,0,VOL_IMB,0.2,CALL,base,2740.000000000001,2700.0000000000014,39.999999999999545,121.86658676,2578.1334132400016
2022-03-11,2022-03-17,0,VOL_IMB,0.2,CALL,base,130.0000000000004,90.00000000000199,39.99999999999841,127.2097235,-37.209723499998006
2022-03-15,2022-03-17,0,VOL_IMB,0.2,CALL,base,-2327.4999999999995,-2367.4999999999995,40.0,111.747165265,-2479.2471652649997
2022-03-16,2022-03-17,0,VOL_IMB,0.2,CALL,base,747.4999999999994,707.4999999999997,39.99999999999977,111.797762565,595.7022374349997
2022-03-22,2022-03-24,0,VOL_IMB,0.2,PUT,base,-2179.9999999999995,-2219.999999999999,39.999999999999545,107.94486982,-2327.944869819999
2022-04-04,2022-04-07,0,VOL_IMB,0.2,CALL,base,2052.499999999999,2012.500000000001,39.99999999999818,118.602793325,1893.897206675001
2022-04-07,2022-04-07,0,VOL_IMB,0.2,PUT,base,1245.0,1204.9999999999998,40.00000000000024,99.54843693999999,1105.45156306
2022-04-12,2022-04-13,0,VOL_IMB,0.2,PUT,base,-120.00000000000051,-160.00000000000065,40.00000000000014,101.65177559,-261.6517755900006
2022-04-13,2022-04-13,0,VOL_IMB,0.2,CALL,base,-1837.5,-1875.0000000000002,37.50000000000022,95.37757902,-1970.3775790200002
