entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
MON,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,43,43,43,5535.243719120549,11611.392638095,0.7906976744186046,1.7505630220073656,-165343.60115511052,-36741.32136666674,-62748.21063925466,1.0,21112.61773255814,44910.9375,244477.1,6461.620077816408,238015.4799221836,0.0264303694612559,True,stress
TUE,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,5388.273585976165,6937.922220937,0.7804878048780488,2.7189675303628538,-37448.03664262631,-23612.808120625,-26654.37648065113,1.0,16983.870121951222,35560.850000000006,226481.3,5562.082974977207,220919.2170250228,0.024558685308576,True,stress
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,42,42,42,5387.3392379007255,11148.9975151655,0.8095238095238095,1.590645118908628,-232407.24194291647,-55583.46421444503,-71678.168941482,1.0,23575.89107142857,75467.43750000003,232608.25,6340.002008169508,226268.2479918305,0.0272561356193063,True,stress
MON,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,43,43,43,5288.627186171395,12359.11625252,0.7906976744186046,1.7745258312309091,-146039.8744149555,-35566.1517829749,-57634.50520491867,1.0,20632.84941860465,45274.12499999997,233769.5,6358.530994630003,227410.96900536996,0.0272000025436594,True,stress
MON,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,43,43,43,5222.391658040686,10314.6826179275,0.7906976744186046,1.8134723588925608,-136050.4859483265,-38430.926583322296,-51995.575424079165,1.0,19715.21482558139,41820.99999999998,230879.25,6316.408704250509,224562.8412957496,0.0273580614292991,True,stress
TUE,10:00,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,5215.700672564003,6526.09615249,0.7804878048780488,2.5451732622278427,-44478.841907303,-22093.377829249,-24853.816025205997,1.0,16503.475914634146,35765.60000000001,219272.35,5428.622424875896,213843.7275751241,0.0247574417151815,True,stress
WED,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,42,42,42,5201.5501223400615,10436.75184810425,0.8095238095238095,1.5944289565638694,-221726.754941297,-54852.76178201785,-68118.00516948383,1.0,23146.07410714286,75467.43750000003,224715.6,6250.494861717387,218465.10513828255,0.0278151354944533,True,stress
MON,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,43,43,43,5173.113973948778,12260.9300663065,0.7906976744186046,1.7677298487813913,-150139.03713855302,-35528.04002547675,-57937.07517577501,1.0,20490.76046511628,44910.9375,228781.75,6337.849120202496,222443.90087979744,0.0277025991811081,True,stress
TUE,09:20,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,5088.47170656782,6050.5128528025,0.7804878048780488,2.681237392507549,-35742.902030158,-22639.187291275,-25695.68450401783,1.0,16722.118902439026,35560.850000000006,214093.1,5465.7600307194025,208627.33996928055,0.0255298280548014,True,stress
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,5067.22980795278,12922.6645238855,0.8048780487804879,1.6400921204731147,-176027.1682147455,-63735.7902910225,-66677.08330088983,1.0,23492.225609756093,42423.87500000001,213867.5,6111.077873936007,207756.422126064,0.0285741305899026,True,stress
TUE,10:00,second_nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,5033.591496974488,7960.3145280325,0.8536585365853658,1.904192241577759,-127838.62568704202,-48264.5937851275,-48640.93209218,1.0,20532.489939024388,39541.93749999998,211732.0,5354.748624045996,206377.251375954,0.0252902188806887,True,stress
TUE,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,5032.267034550368,11589.5484926465,0.7560975609756098,1.6046330551133847,-180206.2685178585,-58690.525456263,-62336.637175231335,1.0,23558.275609756103,40197.625000000015,212463.85,6140.901583434908,206322.94841656505,0.0289032773501699,True,stress
FRI,10:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,5026.179344365384,5128.1092468475,0.8048780487804879,2.91732852884824,-48676.27290124848,-15734.9844053015,-30541.10498684729,1.0,12314.162195121951,43215.25000000002,211351.95,5278.596881019299,206073.3531189807,0.024975387646148,True,stress
FRI,10:00,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,5062.755237262003,3944.8063841525,0.8048780487804879,2.9320271562539,-49831.05095911049,-15734.9844053015,-30797.080336291827,1.0,12230.752134146343,43215.25000000002,212807.35,5234.3852722579,207572.96472774213,0.0245968255901776,False,stress
TUE,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,41,41,41,5020.17751326679,4138.5585581985,0.8780487804878049,5.280511372926923,-23961.0648018925,-10667.3206404313,-15284.036600192769,1.0,14748.933841463411,27857.374999999996,210891.9,5064.621956061597,205827.2780439384,0.02401525120719,False,stress
TUE,11:00,nearest_weekly,delta020,touch,add_short,no_stop,41,41,41,4977.278351049598,6292.4142616265,0.7560975609756098,2.470619317281888,-37300.3992377275,-19163.707386537,-26107.698555247163,1.0,16261.69268292683,36208.9,209596.25,5527.837606966498,204068.4123930335,0.0263737428840759,False,stress
TUE,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,4971.520983293563,8829.0411839365,0.8536585365853658,1.9285255237988417,-126073.593371385,-40547.357180186,-46755.45296417784,1.0,22137.260670731703,59379.93750000002,209395.85,5563.489684963901,203832.36031503617,0.0265692452117074,False,stress
WED,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,42,42,42,4940.673772636397,9785.0199242506,0.7857142857142857,1.6303506022200498,-193401.0085730225,-54644.80784904145,-68355.95476281118,1.0,21741.569940476187,41042.62500000001,213624.55,6116.251549271325,207508.29845072867,0.028630845795913,False,stress
FRI,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,41,41,41,4889.546987987745,3924.462785970501,0.8292682926829268,2.666362798216076,-49263.40091126898,-22081.3244718225,-32645.410481312498,1.0,12351.198475609755,40955.68749999998,205707.25,5235.823492502495,200471.4265074976,0.025452790275999,False,stress
TUE,10:00,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,41,41,41,4875.496975926244,8345.847276599,0.8536585365853658,1.8407053566039329,-133716.0247058515,-50413.0377213765,-50689.854574934325,1.0,21053.82652439024,39541.93749999998,205331.0,5435.623987023991,199895.37601297596,0.0264724955658132,False,stress
WED,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,42,42,42,4870.4831123811255,11060.743240852,0.7857142857142857,1.6131043631866755,-193641.1683775955,-55387.51827169727,-68612.34158120667,1.0,22111.505654761902,41042.62500000001,210765.15,6204.859279992706,204560.29072000727,0.0294396833631779,False,stress
MON,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,43,43,43,4864.973811194302,10942.169488199,0.7906976744186046,1.713899494433843,-153468.468762123,-43151.63266601395,-57288.79605855367,1.0,20039.958430232557,41820.99999999998,215557.5,6363.626118645007,209193.873881355,0.0295217105349848,False,stress
