entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
WED,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,8,8,8,15263.057161565312,14121.294965273752,1.0,inf,0.0,8124.7302513660015,7931.489418490002,1.0,23070.67343750001,26430.95000000002,123275.75,1171.2927074774998,122104.4572925225,0.0095014040269679,False,base,3,oos
WED,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,8,8,8,14489.015268145877,14121.294965273752,1.0,inf,0.0,5696.980258668751,4493.783018765,1.0,23070.67343750001,26430.95000000002,117071.5,1159.3778548329956,115912.122145167,0.0099031605030515,False,base,3,oos
TUE,09:20,second_nearest_weekly,delta020,touch,add_short,no_stop,8,8,8,14181.685613147249,13665.546883449,1.0,inf,0.0,9169.4305021405,9038.2888026545,1.0,22801.390625000007,27526.20000000002,114569.0,1115.5150948219998,113453.484905178,0.0097366224268519,False,base,3,oos
TUE,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,8,8,8,14181.685613147249,13665.546883449,1.0,inf,0.0,9169.4305021405,9038.2888026545,1.0,22801.390625000007,27526.20000000002,114569.0,1115.5150948219998,113453.484905178,0.0097366224268519,False,base,3,oos
WED,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,8,8,8,13882.034647406686,14539.27371508,1.0,inf,0.0,6147.859399422152,4056.113929479004,1.0,22536.39375,27407.899999999998,112206.25,1149.9728207465023,111056.27717925352,0.0102487412309608,False,base,3,oos
WED,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,8,8,8,13882.034647406686,14539.27371508,1.0,inf,0.0,6147.859399422152,4056.113929479004,1.0,22536.39375,27407.899999999998,112206.25,1149.9728207465023,111056.27717925352,0.0102487412309608,False,base,3,oos
TUE,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,8,8,8,13878.354672564938,13555.259091406,0.875,771.5301617846985,-144.0914877665018,3270.137559252675,-144.09148776650045,1.0,22547.3421875,26604.5,112141.25,1114.4126194805012,111026.83738051949,0.0099375797887084,False,base,3,oos
TUE,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,8,8,8,13635.923230463875,13665.546883449,1.0,inf,0.0,6586.587725251125,5064.684530517,1.0,22801.390625000007,27526.20000000002,110194.5,1107.1141562889998,109087.385843711,0.0100469093855773,False,base,3,oos
TUE,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,8,8,8,13346.783733710625,13555.259091406,0.875,79.66914970194574,-1357.257200239499,2481.579846145225,-1357.2572002395004,1.0,22547.3421875,26604.5,107880.5,1106.2301303149989,106774.269869685,0.0102542176789595,False,base,3,oos
WED,09:20,second_nearest_weekly,sigma1,ninety_pct,add_short,no_stop,8,8,8,13032.139490938189,12704.92823271775,1.0,inf,0.0,10408.81056272865,10363.400639338,1.0,21747.98437500001,24763.70000000002,105309.75,1052.6340724944985,104257.11592750553,0.0099955993865192,False,base,3,oos
WED,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,8,8,8,12719.467684197876,13417.399351352253,0.875,708.661606224264,-143.7915249019934,2467.084055884203,-143.79152490199635,1.0,22398.87812499999,27229.79999999998,102895.0,1139.2585264170032,101755.741473583,0.0110720494330823,False,base,3,oos
FRI,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,7,7,7,12695.122275698,12792.968117552498,0.8571428571428571,147.1732166518475,-607.9489660649997,2727.2466565141503,-607.9489660650004,1.0,19119.93571428571,23957.04999999998,89843.0,977.1440701140002,88865.85592988599,0.0108761291376512,False,base,3,oos
FRI,11:00,second_nearest_weekly,delta020,touch,add_short,no_stop,7,7,7,12582.983108838427,12144.2241049735,0.8571428571428571,79.61115954730349,-1120.4628232059986,2324.6962155572005,-1120.4628232060004,1.0,19140.016071428578,23692.5,89056.5,975.6182381309968,88080.881761869,0.0109550480664633,False,base,3,oos
WED,09:20,second_nearest_weekly,sigma1,touch,add_short,no_stop,8,8,8,12503.928837733189,11951.22046889825,1.0,inf,0.0,7651.9428343749505,6191.927093241,1.0,21293.63437500001,24763.70000000002,101052.25,1020.8192981344982,100031.43070186552,0.0101018957829686,False,base,3,oos
WED,09:20,second_nearest_weekly,sigma1,touch,add_short,stop_2x_credit,8,8,8,12503.928837733189,11951.22046889825,1.0,inf,0.0,7651.9428343749505,6191.927093241,1.0,21293.63437500001,24763.70000000002,101052.25,1020.8192981344982,100031.43070186552,0.0101018957829686,False,base,3,oos
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,7,7,7,12253.374539659144,12792.968117552498,0.8571428571428571,55.92626362928881,-1561.613991377999,2074.2780524478003,-1561.6139913780005,1.0,19768.70535714285,23957.04999999998,86768.5,994.8782223859992,85773.62177761401,0.0114658916817278,False,base,3,oos
WED,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,8,8,8,12223.578089828065,13417.399351352253,0.875,681.0722419855695,-143.79152490199704,1076.3225606360772,-143.79152490199635,1.0,22398.87812499999,27229.79999999998,98920.25,1131.6252813755025,97788.6247186245,0.0114397737710479,False,base,3,oos
FRI,11:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,7,7,7,12149.113072231212,12144.2241049735,0.8571428571428571,42.00219355636285,-2074.1278485190014,1657.1306978381008,-2074.1278485190005,1.0,19817.269642857147,23703.87500000001,86037.25,993.4584943815012,85043.79150561849,0.0115468415643398,False,base,3,oos
WED,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,8,8,8,12127.7997744305,11604.4999689355,1.0,inf,0.0,5263.451316857328,4056.113929479004,1.0,21477.3,27407.899999999998,98098.0,1075.6018045560022,97022.398195444,0.0109645640538645,False,base,3,oos
WED,10:00,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,8,8,8,12127.7997744305,11604.4999689355,1.0,inf,0.0,5263.451316857328,4056.113929479004,1.0,21477.3,27407.899999999998,98098.0,1075.6018045560022,97022.398195444,0.0109645640538645,False,base,3,oos
WED,09:20,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,8,8,8,12114.014364246064,14121.294965273752,0.875,6.800086446075863,-16708.736294704,-8084.657295086097,-16708.736294704,1.0,23070.67343750001,26430.95000000002,98094.75,1182.6350860314978,96912.11491396851,0.0120560487287188,False,base,3,oos
THU,10:00,second_nearest_weekly,delta020,touch,add_short,no_stop,7,7,7,11987.37207459807,12523.743859945,1.0,inf,0.0,6854.3025972169,5536.687858162,1.0,20311.6875,25444.899999999998,84821.75,910.1454778135012,83911.60452218649,0.0107300954980709,False,base,3,oos
