ts,norm_date,local_time,trading_day,strike,option_type,open_px,close_px,feature_day,bucket,expiry,atm
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15500.0,CE,226.7,222.0,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15500.0,CE,226.7,222.0,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15500.0,PE,1.25,1.35,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15500.0,PE,1.25,1.35,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15700.0,CE,49.0,45.25,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15700.0,CE,49.0,45.25,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15700.0,PE,23.3,25.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15900.0,CE,2.1,2.15,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15900.0,PE,176.45,182.7,2021-07-01,0,2021-07-01,15700
2021-07-01 09:25:00,2021-07-01,09:25:00,2021-07-01,15900.0,PE,176.45,182.7,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15500.0,CE,210.95,210.85,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15500.0,CE,210.95,210.85,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15500.0,PE,1.4,1.4,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15500.0,PE,1.4,1.4,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15700.0,CE,37.35,37.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15700.0,CE,37.35,37.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15700.0,PE,28.25,28.35,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15900.0,CE,2.2,2.25,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15900.0,PE,193.35,192.6,2021-07-01,0,2021-07-01,15700
2021-07-01 09:30:00,2021-07-01,09:30:00,2021-07-01,15900.0,PE,193.35,192.6,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15500.0,CE,209.55,210.2,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15500.0,CE,209.55,210.2,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15500.0,PE,1.4,1.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15500.0,PE,1.4,1.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15700.0,CE,37.8,37.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15700.0,CE,37.8,37.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15700.0,PE,28.65,29.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15900.0,CE,2.25,2.2,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15900.0,PE,193.5,193.65,2021-07-01,0,2021-07-01,15700
2021-07-01 09:31:00,2021-07-01,09:31:00,2021-07-01,15900.0,PE,193.5,193.65,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15500.0,CE,209.9,212.8,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15500.0,CE,209.9,212.8,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15500.0,PE,1.45,1.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15500.0,PE,1.45,1.45,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15700.0,CE,37.55,38.3,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15700.0,CE,37.55,38.3,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15700.0,PE,29.1,28.7,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15900.0,CE,2.2,2.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15900.0,PE,194.0,192.55,2021-07-01,0,2021-07-01,15700
2021-07-01 09:32:00,2021-07-01,09:32:00,2021-07-01,15900.0,PE,194.0,192.55,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15500.0,CE,212.25,217.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15500.0,CE,212.25,217.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15500.0,PE,1.5,1.55,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15500.0,PE,1.5,1.55,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15700.0,CE,38.25,41.0,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15700.0,CE,38.25,41.0,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15700.0,PE,28.75,26.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15900.0,CE,2.15,2.1,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15900.0,PE,192.65,186.75,2021-07-01,0,2021-07-01,15700
2021-07-01 09:33:00,2021-07-01,09:33:00,2021-07-01,15900.0,PE,192.65,186.75,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15500.0,CE,216.1,219.85,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15500.0,CE,216.1,219.85,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15500.0,PE,1.55,1.65,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15500.0,PE,1.55,1.65,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15700.0,CE,40.6,43.25,2021-07-01,0,2021-07-01,15700
2021-07-01 09:34:00,2021-07-01,09:34:00,2021-07-01,15700.0,CE,40.6,43.25,2021-07-01,0,2021-07-01,15700
