entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime,fold,stage
WED,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,20,20,20,6606.033361045959,4792.599528665251,0.8,3.52005092589756,-33537.274422741,-12678.673917593427,-28597.171030453,1.0,16341.755625000003,35929.56249999999,134713.8,2593.132779080798,132120.66722091922,0.0192491992585822,False,stress,3,train
FRI,10:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,6590.388735451333,4525.52106372625,0.8333333333333334,3.820790660574154,-20240.3168276925,-19320.495993463475,-20240.3168276925,1.0,13702.577777777778,31750.54999999998,120861.0,2234.002761876004,118626.997238124,0.0184840665051257,False,stress,3,train
TUE,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,17,17,17,6529.4482919648,7988.852972504,0.7058823529411765,2.475943750523263,-33560.2927192604,-21266.5427272067,-24303.4971118735,1.0,19482.373529411765,36208.9,113518.6,2517.9790365984018,111000.6209634016,0.0221812023456808,False,stress,3,train
TUE,11:00,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,17,17,17,6380.536154345839,6314.225146022,0.7647058823529411,6.691707965113258,-13391.314318927303,-6538.595192016984,-11059.365294382902,1.0,17261.858823529405,27857.374999999996,110745.05,2275.935376120701,108469.11462387929,0.0205511250942656,False,stress,3,train
FRI,09:20,nearest_weekly,sigma1,ninety_pct,add_short,no_stop,18,18,18,6374.813092028584,5592.116988949751,0.8333333333333334,3.49273007789701,-20606.861548306,-18492.73328528685,-20606.861548306,1.0,13570.555555555558,29638.70000000002,116977.25,2230.6143434855,114746.63565651453,0.0190687876786768,False,stress,3,train
FRI,11:00,nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,6239.8531216075,5732.424778359749,0.7222222222222222,2.2884010403481803,-33101.0619292525,-26133.496095247072,-33101.0619292525,1.0,14911.108333333335,42474.24999999999,114751.0,2433.6438110650024,112317.356188935,0.0212080401135066,False,stress,3,train
TUE,09:20,nearest_weekly,delta020,ninety_pct,add_short,no_stop,17,17,17,6105.423107374751,7748.861868311999,0.5882352941176471,2.244433860736794,-37448.0366426263,-26280.963495379616,-31332.1559361385,1.0,20383.12058823529,35560.850000000006,106308.8,2516.6071746292077,103792.1928253708,0.0236726138817219,False,stress,3,train
WED,11:00,nearest_weekly,sigma1,touch,add_short,no_stop,20,20,20,5962.547681213824,4321.399901019,0.7,3.069648436538224,-36612.93258962099,-10078.822808533349,-27448.292390674,1.0,16274.838125,35755.68749999998,121852.25,2601.296375723497,119250.95362427647,0.0213479552139865,False,stress,3,train
FRI,09:20,nearest_weekly,sigma1,touch,add_short,no_stop,18,18,18,5716.589419978471,6161.6851741195,0.8333333333333334,3.245160155514988,-20606.861548306,-18321.700559597703,-20606.861548306,1.0,13320.170138888892,29638.70000000002,105088.75,2190.140440387499,102898.60955961252,0.0208408648916986,False,stress,3,train
FRI,10:00,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,18,18,18,5509.722535528701,14236.3828999725,0.7222222222222222,1.6220592784836676,-124238.31987022648,-55304.25178585708,-58236.169069233,1.0,23758.64652777778,44852.437500000015,101935.6,2760.594360483404,99175.0056395166,0.0270817492660405,False,stress,3,train
