feature,null_seed,threshold,horizon,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,max_drawdown,total_slippage,total_transaction_costs,raw_gross
US_LEAD,101,0.5,H10_30,base,487,227,-43703.297077019364,-192.5255377842263,-250.7078360349998,0.43171806167400884,-2762.512629300691,-7513.825318804993,-51090.30811851935,20967.99999999992,53756.04707701945,31020.750000000007
US_LEAD,101,0.5,H15_10,base,488,228,-82643.85702118078,-362.4730571104419,-907.6463801112498,0.3991228070175439,-4552.3948504195,-11423.836211195,-86467.13889342669,20927.49999999992,53848.607021180855,-7867.749999999993
US_LEAD,101,1.0,H10_30,base,251,168,-26094.50486688991,-155.32443373148752,-256.4905580596892,0.3869047619047619,-2762.512629300691,-4502.6862115,-28384.18083537981,10879.999999999945,27901.004866889954,12686.499999999995
US_LEAD,101,1.0,H15_10,base,251,168,-44140.89610572126,-262.7434292007218,-548.5633084199987,0.3630952380952381,-4552.3948504195,-8812.148328322499,-46832.496728759455,10844.999999999945,27826.146105721316,-5469.7499999999945
ASIA_LEAD,101,0.5,H10_30,base,420,215,-53705.0403958048,-249.79088556188273,-338.23572642500017,0.3767441860465116,-3436.6323535550005,-4483.9943992949975,-58382.99370288483,18075.999999999935,46545.040395804856,10916.0
ASIA_LEAD,101,0.5,H15_10,base,420,215,-62421.342701692854,-290.33182651950176,-712.7094528199999,0.3813953488372093,-5922.84325208,-8168.482962937498,-92034.1680251329,18012.24999999992,46512.59270169295,2103.4999999999854
ASIA_LEAD,101,1.0,H10_30,base,168,131,-18937.66612663291,-144.56233684452604,-101.72538634000014,0.46564885496183206,-3436.6323535550005,-3436.6323535550005,-21405.742490217912,7219.999999999967,18732.416126632936,7014.749999999996
ASIA_LEAD,101,1.0,H15_10,base,167,130,-26367.450083747215,-202.82653910574774,-292.661036284999,0.4307692307692308,-5280.8261634949995,-6418.551111137501,-41164.597540834984,7139.999999999961,18576.450083747244,-651.0000000000036
GLOBAL_LEAD,101,0.5,H10_30,base,359,202,-48838.93172971336,-241.77688975105627,-255.38472019124998,0.4158415841584158,-3484.4044424545,-4263.0266969725,-50806.04162976837,15859.99999999992,39961.431729713455,6982.500000000013
GLOBAL_LEAD,101,0.5,H15_10,base,358,201,-80378.78998638582,-399.89447754420803,-799.674962229999,0.417910447761194,-6618.75009368,-11148.8688500815,-95298.54343651581,15758.499999999902,39682.789986385906,-24937.500000000004
GLOBAL_LEAD,101,1.0,H10_30,base,128,107,2552.402433111345,23.854228346834994,1.6129353400001492,0.514018691588785,-3484.4044424545,-3433.223893995,-11239.829808769988,5795.999999999966,14486.09756688869,22834.5
GLOBAL_LEAD,101,1.0,H15_10,base,127,106,3200.6664078440335,30.194966111736164,-197.20250987999975,0.4811320754716981,-4853.0534644625,-6418.838264846499,-26013.611383536478,5724.499999999964,14290.58359215599,23215.74999999998
US_LEAD,202,0.5,H10_30,base,519,229,-81977.17839137194,-357.9789449404887,-516.2009141075006,0.3537117903930131,-4600.9059801725,-6216.197894819993,-82157.83823034192,22427.999999999898,57448.42839137204,-2100.7499999999927
US_LEAD,202,0.5,H15_10,base,519,229,-139013.73618193553,-607.0468828905482,-1059.3152042425006,0.34934497816593885,-5922.84325208,-10289.199830495998,-156306.75979579298,22329.49999999989,57383.236181935616,-59301.0
US_LEAD,202,1.0,H10_30,base,274,176,-35871.47734689206,-203.81521219825035,-206.39159716875042,0.39204545454545453,-4600.9059801725,-5430.513199765,-36117.82918809863,11579.999999999945,30286.477346892123,5995.0000000000055
US_LEAD,202,1.0,H15_10,base,275,176,-76098.3618293424,-432.3770558485363,-612.3204313687509,0.4034090909090909,-5922.84325208,-5926.811316140001,-79620.65107994444,11589.24999999995,30327.111829342444,-34181.99999999999
ASIA_LEAD,202,0.5,H10_30,base,422,213,-63935.98289688525,-300.16893378819367,-359.1207549350004,0.38028169014084506,-3278.6619717275,-7857.080668402499,-68442.86712158247,18479.99999999994,46605.73289688532,1149.7500000000073
ASIA_LEAD,202,0.5,H15_10,base,420,212,-99360.62046786392,-468.682172018226,-711.7071457662502,0.41509433962264153,-5280.8261634949995,-12144.583722727499,-118285.84233728197,18313.499999999927,46249.370467864006,-34797.75
ASIA_LEAD,202,1.0,H10_30,base,172,132,-36755.72877328573,-278.4524907067101,-334.9786557225007,0.4166666666666667,-3278.6619717275,-5515.314615632499,-42983.1118369275,7691.999999999969,19181.978773285766,-9881.749999999996
ASIA_LEAD,202,1.0,H15_10,base,170,130,-42830.66387615244,-329.4666452011727,-475.26647031000005,0.3923076923076923,-5280.8261634949995,-9013.279497909998,-63363.42901312247,7563.749999999962,18921.413876152485,-16345.5
GLOBAL_LEAD,202,0.5,H10_30,base,359,189,-52255.85109994127,-276.4859846557739,-367.90485123499997,0.3915343915343915,-3367.3086761,-4925.751013523106,-54305.506696284996,15431.999999999949,39523.35109994133,2699.5000000000073
GLOBAL_LEAD,202,0.5,H15_10,base,359,190,-67875.93269568429,-357.2417510299173,-818.8705659224994,0.37894736842105264,-5208.598637408056,-7884.209786294998,-97047.57803068242,15363.999999999945,39540.43269568436,-12971.49999999998
GLOBAL_LEAD,202,1.0,H10_30,base,118,93,-26297.48083942084,-282.76861117656824,-119.32346926750009,0.41935483870967744,-3367.3086761,-3523.6076813649975,-25911.67913431085,5083.999999999975,12979.480839420872,-8233.999999999995
GLOBAL_LEAD,202,1.0,H15_10,base,118,93,-14728.921669193747,-158.37550181928773,-457.3781695374986,0.40860215053763443,-5208.598637408056,-7884.209786294998,-40385.47456273998,5060.99999999998,12977.171669193782,3309.249999999999
US_LEAD,303,0.5,H10_30,base,501,228,-44528.01548085308,-195.29831351251346,-445.07443289374936,0.35526315789473684,-2533.35934802,-3388.5337359475006,-59088.47930068249,21667.999999999913,55224.515480853166,32364.500000000004
US_LEAD,303,0.5,H15_10,base,500,228,-59786.182997152995,-262.2201008647061,-827.6822222599994,0.38596491228070173,-4744.298905922335,-7884.209786294998,-79861.21607984,21538.24999999991,54897.68299715308,16649.750000000015
US_LEAD,303,1.0,H10_30,base,266,174,-4254.845712184722,-24.45313627692364,-165.39378551975125,0.40804597701149425,-2465.759284805001,-3388.5337359475006,-24741.219987294986,11491.999999999953,29351.345712184764,36588.5
US_LEAD,303,1.0,H15_10,base,266,174,-51743.55533656283,-297.3767548078323,-633.9754250949998,0.3563218390804598,-4744.298905922335,-7168.885372747502,-62221.99297093597,11452.499999999949,29229.30533656288,-11061.750000000007
