week,net_pnl,gross_pnl,transaction_costs,slippage_cost,total_friction,trading_days,positive
2021-06-28/2021-07-04,-2228.6629243849998,-1937.4999999999998,291.162924385,179.9999999999997,471.1629243849997,2,False
2021-07-05/2021-07-11,-4491.307016565001,-3762.5,728.807016565,490.00000000000034,1218.8070165650004,5,False
2021-07-12/2021-07-18,-3560.7269486999994,-2834.9999999999995,725.7269487,479.99999999999915,1205.726948699999,5,False
2021-07-19/2021-07-25,-1789.40160733,-1204.9999999999998,584.4016073299999,379.9999999999994,964.4016073299994,4,False
2021-07-26/2021-08-01,-2801.38702216,-2070.0000000000005,731.38702216,485.0000000000001,1216.38702216,5,False
2021-08-02/2021-08-08,-1993.0845376800012,-1255.0000000000011,738.08453768,485.000000000001,1223.084537680001,5,False
2021-08-09/2021-08-15,-3215.2097364599995,-2484.9999999999995,730.20973646,489.9999999999996,1220.2097364599997,5,False
2021-08-16/2021-08-22,-5530.672430460001,-4940.0,590.67243046,400.0000000000006,990.6724304600007,4,False
2021-08-23/2021-08-29,-2209.8957675949996,-1472.4999999999995,737.395767595,484.9999999999995,1222.3957675949996,5,False
2021-08-30/2021-09-05,761.7584722050005,1512.5,750.741527795,485.0000000000011,1235.7415277950013,5,True
2021-09-06/2021-09-12,-4931.7873978,-4345.0,586.7873978,379.99999999999955,966.7873977999996,4,False
2021-09-13/2021-09-19,-2326.1260674349996,-1582.4999999999995,743.626067435,495.0000000000006,1238.6260674350006,5,False
2021-09-20/2021-09-26,-4000.6137899050027,-3232.5000000000027,768.113789905,495.00000000000244,1263.1137899050025,5,False
2021-09-27/2021-10-03,-9575.284874275003,-8807.500000000004,767.784874275,490.00000000000165,1257.7848742750016,5,False
2021-10-04/2021-10-10,-1394.6709014050016,-632.5000000000018,762.170901405,485.00000000000205,1247.170901405002,5,False
2021-10-11/2021-10-17,-4220.479830325001,-3627.500000000001,592.979830325,390.0000000000007,982.9798303250008,4,False
2021-10-18/2021-10-24,-2891.503368200003,-2115.0000000000036,776.5033682000001,500.00000000000153,1276.5033682000017,5,False
2021-10-25/2021-10-31,-2714.841339265002,-2097.500000000002,617.341339265,400.00000000000125,1017.3413392650012,4,False
