day,expiry,bucket,feature,threshold,side,friction,raw_gross,execution_gross,slippage_cost,transaction_costs,net_pnl,null_seed
2021-07-05,2021-07-08,0,VOL_IMB,0.2,PUT,base,-579.9999999999999,-620.0000000000001,40.000000000000256,100.19239537,-720.1923953700001,101
2021-07-07,2021-07-08,0,VOL_IMB,0.2,PUT,base,-1407.5000000000002,-1447.5000000000002,39.99999999999997,98.547806145,-1546.0478061450003,101
2021-07-08,2021-07-08,0,VOL_IMB,0.2,CALL,base,-2067.5,-2105.0,37.49999999999999,95.42404979999999,-2200.4240498,101
2021-07-12,2021-07-15,0,VOL_IMB,0.2,PUT,base,1677.4999999999995,1637.5,39.99999999999966,107.596494895,1529.903505105,101
2021-07-13,2021-07-15,0,VOL_IMB,0.2,CALL,base,1697.5,1657.4999999999998,40.00000000000024,103.558074325,1553.9419256749998,101
2021-07-15,2021-07-15,0,VOL_IMB,0.2,PUT,base,-1834.9999999999998,-1875.0,40.00000000000023,95.54024747,-1970.54024747,101
2021-08-02,2021-08-05,0,VOL_IMB,0.2,PUT,base,-385.0000000000002,-425.00000000000057,40.000000000000284,101.36058214,-526.3605821400006,101
2021-08-05,2021-08-05,0,VOL_IMB,0.2,PUT,base,-1167.5,-1207.5,40.00000000000003,95.373655785,-1302.873655785,101
2021-08-10,2021-08-12,0,VOL_IMB,0.2,PUT,base,374.99999999999955,334.9999999999993,40.00000000000023,102.01269001,232.98730998999932,101
2021-08-11,2021-08-12,0,VOL_IMB,0.2,PUT,base,195.00000000000017,154.99999999999986,40.000000000000306,99.87576754,55.12423245999986,101
2021-08-12,2021-08-12,0,VOL_IMB,0.2,PUT,base,-1365.0,-1405.0,40.000000000000014,95.30807813999999,-1500.30807814,101
2021-08-13,2021-08-18,0,VOL_IMB,0.2,CALL,base,2007.5,1967.5,40.0,105.98113495499999,1861.518865045,101
2021-08-31,2021-09-02,0,VOL_IMB,0.2,CALL,base,3787.500000000001,3747.500000000001,40.0,111.83603253499999,3635.663967465001,101
2021-09-02,2021-09-02,0,VOL_IMB,0.2,PUT,base,-1317.5,-1357.5,40.00000000000003,95.291610445,-1452.791610445,101
2021-09-07,2021-09-09,0,VOL_IMB,0.2,PUT,base,-565.0,-605.0000000000003,40.000000000000284,102.70941217,-707.7094121700003,101
2021-09-08,2021-09-09,0,VOL_IMB,0.2,CALL,base,-410.0,-450.0000000000002,40.000000000000256,99.67064827,-549.6706482700002,101
2021-09-13,2021-09-16,0,VOL_IMB,0.2,CALL,base,822.4999999999995,782.4999999999994,40.000000000000156,106.66592852499998,675.8340714749994,101
2021-09-15,2021-09-16,0,VOL_IMB,0.2,PUT,base,-1680.0,-1720.0,40.00000000000006,96.92606540999999,-1816.92606541,101
2021-09-16,2021-09-16,0,VOL_IMB,0.2,PUT,base,-1197.5,-1237.4999999999998,39.99999999999977,95.182494325,-1332.6824943249999,101
2021-09-21,2021-09-23,0,VOL_IMB,0.2,CALL,base,1495.0,1455.0,39.99999999999983,110.46157668,1344.53842332,101
2021-09-27,2021-09-30,0,VOL_IMB,0.2,PUT,base,685.0000000000001,644.9999999999995,40.00000000000051,108.45598519,536.5440148099996,101
2021-09-28,2021-09-30,0,VOL_IMB,0.2,PUT,base,1095.0000000000002,1055.0,40.000000000000156,106.59591738,948.40408262,101
2021-09-30,2021-09-30,0,VOL_IMB,0.2,CALL,base,-2530.0,-2570.0,40.0,96.10017278000001,-2666.10017278,101
2021-10-01,2021-10-07,0,VOL_IMB,0.2,PUT,base,-469.99999999999955,-509.99999999999955,40.0,113.16626797,-623.1662679699996,101
2021-10-05,2021-10-07,0,VOL_IMB,0.2,CALL,base,3302.5,3262.5,40.000000000000455,114.55207798500001,3147.947922015,101
2021-10-19,2021-10-21,0,VOL_IMB,0.2,PUT,base,2470.0,2430.0000000000005,39.999999999999545,115.35903352,2314.6409664800003,101
2021-10-22,2021-10-28,0,VOL_IMB,0.2,CALL,base,-1785.0000000000002,-1825.0,39.99999999999977,107.27662586999999,-1932.27662587,101
2021-10-26,2021-10-28,0,VOL_IMB,0.2,CALL,base,452.5000000000002,412.4999999999998,40.0000000000004,108.447795265,304.0522047349998,101
2021-10-27,2021-10-28,0,VOL_IMB,0.2,PUT,base,1140.0,1099.9999999999998,40.00000000000015,105.67426537,994.3257346299997,101
2021-10-28,2021-10-28,0,VOL_IMB,0.2,PUT,base,7240.000000000002,7200.000000000002,39.999999999999545,117.29602225000001,7082.703977750002,101
2021-11-08,2021-11-11,0,VOL_IMB,0.2,CALL,base,3252.5000000000023,3212.500000000003,39.99999999999909,123.395582345,3089.104417655003,101
2021-11-10,2021-11-11,0,VOL_IMB,0.2,PUT,base,-1367.5000000000005,-1407.5000000000005,40.000000000000114,100.449512495,-1507.9495124950004,101
2021-11-11,2021-11-11,0,VOL_IMB,0.2,PUT,base,275.0000000000002,234.99999999999994,40.000000000000284,98.39942711999998,136.60057287999996,101
2021-11-12,2021-11-18,0,VOL_IMB,0.2,PUT,base,-1624.9999999999998,-1665.0000000000005,40.00000000000068,106.04358293000001,-1771.0435829300004,101
2021-11-16,2021-11-18,0,VOL_IMB,0.2,PUT,base,1047.5000000000002,1007.4999999999997,40.00000000000051,108.146116175,899.3538838249997,101
2021-11-18,2021-11-18,0,VOL_IMB,0.2,CALL,base,-2575.0,-2615.0,40.0,96.01792807,-2711.01792807,101
2021-11-22,2021-11-25,0,VOL_IMB,0.2,PUT,base,3007.499999999999,2967.4999999999995,39.999999999999545,120.74377719499998,2846.7562228049997,101
2021-11-24,2021-11-25,0,VOL_IMB,0.2,CALL,base,-2572.4999999999995,-2612.5,40.000000000000455,98.377833095,-2710.877833095,101
2021-11-25,2021-11-25,0,VOL_IMB,0.2,PUT,base,-2057.5,-2097.5,39.99999999999994,96.294477755,-2193.794477755,101
2021-12-06,2021-12-09,0,VOL_IMB,0.2,CALL,base,-2959.9999999999995,-2999.999999999999,39.999999999999545,105.93988532,-3105.939885319999,101
