mode,null_seed,feature,threshold,bucket,friction,trades,weeks,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs,raw_gross
NULL,101,VOL_IMB,0.2,0,base,366,213,-9994.015780464671,-46.92026188011579,-332.93212211499997,0.41784037558685444,-5268.14100665,-7918.846378939999,15527.749999999938,40173.26578046473,45707.000000000015
NULL,101,VOL_IMB,0.2,1,base,278,184,-52572.36533441989,-285.7193768174994,-431.89854190500023,0.3858695652173913,-4164.540397729997,-4725.293886139998,11299.99999999976,33782.86533442012,-7489.499999999999
NULL,101,VOL_IMB,0.4,0,base,81,75,16634.024147380867,221.78698863174495,-186.24045389749915,0.4533333333333333,-2575.66511277,-2853.4476276350006,3243.499999999991,8772.475852619149,28650.000000000007
NULL,101,VOL_IMB,0.4,1,base,87,75,-17299.63461504849,-230.6617948673132,-154.19362043749973,0.4266666666666667,-4164.540397729997,-4164.540397729997,3463.999999999926,10532.884615048559,-3302.7500000000055
NULL,101,OI_CHANGE_IMB,0.2,0,base,464,229,-103652.40109164095,-452.6305724525806,-720.9814531500012,0.38427947598253276,-5268.14100665,-9261.428093861188,19589.24999999995,50579.40109164103,-33483.74999999999
NULL,101,OI_CHANGE_IMB,0.2,1,base,400,208,-105978.21742977503,-509.51066072007234,-435.22810364499844,0.3894230769230769,-4164.540397729997,-4386.887608999999,16459.99999999965,48426.71742977538,-41091.5
NULL,101,OI_CHANGE_IMB,0.4,0,base,240,165,-39453.48232642817,-239.11201409956468,-502.8524605199991,0.4,-5268.14100665,-7822.139666282501,10246.249999999978,26210.982326428195,-2996.2499999999945
NULL,101,OI_CHANGE_IMB,0.4,1,base,257,169,-64238.60853897264,-380.11010969806296,-436.09083716999714,0.3727810650887574,-4164.540397729997,-4164.540397729997,10603.999999999774,31134.10853897287,-22500.500000000007
NULL,101,JOINT,0.2,0,base,320,199,-16332.493660879289,-82.07283246673009,-458.42656124249993,0.4321608040201005,-5268.14100665,-7822.139666282501,13505.499999999956,35071.74366087932,32244.750000000007
NULL,101,JOINT,0.2,1,base,282,181,-61139.516892266016,-337.78738614511616,-436.76308713249955,0.3756906077348066,-4164.540397729997,-4164.540397729997,11699.999999999753,34270.266892266256,-15169.25000000002
NULL,101,JOINT,0.4,0,base,77,69,21532.149059705374,312.0601313000778,-136.33262139999997,0.463768115942029,-4702.987781675001,-4702.987781675001,3286.999999999986,8531.600940294644,33350.75000000001
NULL,101,JOINT,0.4,1,base,110,93,-27781.452038104897,-298.72529073231067,-422.28925189500035,0.3870967741935484,-4164.540397729997,-4164.540397729997,4619.999999999899,13396.202038104993,-9765.250000000005
NULL,202,VOL_IMB,0.2,0,base,373,207,-79671.05714221922,-384.8843340203826,-760.7818401400002,0.3961352657004831,-4826.5461930951,-7426.3092249075,15689.749999999938,40822.80714221927,-23158.500000000007
