feature,threshold,bucket,side,signals
JOINT,0.2,0,CALL,201
JOINT,0.2,0,PUT,250
JOINT,0.2,1,CALL,149
JOINT,0.2,1,PUT,235
JOINT,0.4,0,CALL,47
JOINT,0.4,0,PUT,64
JOINT,0.4,1,CALL,57
JOINT,0.4,1,PUT,89
OI_CHANGE_IMB,0.2,0,CALL,310
OI_CHANGE_IMB,0.2,0,PUT,353
OI_CHANGE_IMB,0.2,1,CALL,254
OI_CHANGE_IMB,0.2,1,PUT,288
OI_CHANGE_IMB,0.4,0,CALL,146
OI_CHANGE_IMB,0.4,0,PUT,189
OI_CHANGE_IMB,0.4,1,CALL,160
OI_CHANGE_IMB,0.4,1,PUT,183
VOL_IMB,0.2,0,CALL,246
VOL_IMB,0.2,0,PUT,272
VOL_IMB,0.2,1,CALL,150
VOL_IMB,0.2,1,PUT,223
VOL_IMB,0.4,0,CALL,47
VOL_IMB,0.4,0,PUT,75
VOL_IMB,0.4,1,CALL,42
VOL_IMB,0.4,1,PUT,77
