threshold,side,wing,bucket,friction,trades,total_net,mean_weekly_net,median_weekly_net,positive_week_rate,worst_trade,worst_week,total_slippage,total_transaction_costs
2.0,SHORT_CONDOR,200,0,stress,398,-128864.86689979138,-723.9599264033224,-354.3396976312507,0.48314606741573035,-7136.116424147494,-7312.631305815001,56639.500000000146,83730.3668997912
2.0,SHORT_CONDOR,200,1,stress,64,-17951.55893641751,-472.4094456951975,-418.1597289275021,0.07894736842105263,-894.1465821250018,-1837.776757485003,9039.999999999967,16180.3089364175
2.0,LONG_STRADDLE,200,0,stress,442,-257708.72392988813,-1706.6802909264118,-859.4578839350006,0.32450331125827814,-14388.010249422503,-24058.567021022507,44912.500000000335,55041.22392988778
2.0,LONG_STRADDLE,200,1,stress,380,-247088.58359218296,-1752.40130207222,-1707.1305871350019,0.2624113475177305,-9988.3710961845,-14946.840657664976,36872.000000000095,52911.83359218291
4.0,SHORT_CONDOR,200,0,stress,275,-87453.22000344438,-523.6719760685293,-113.19101051750016,0.49700598802395207,-7136.116424147494,-7136.116424147494,37923.25000000008,57504.47000344431
4.0,SHORT_CONDOR,200,1,stress,26,-5743.99415808746,-382.93294387249745,-395.52012489500066,0.13333333333333333,-780.7832039799991,-1185.4843289499856,3359.9999999999327,6937.744158087499
4.0,LONG_STRADDLE,200,0,stress,361,-251625.70637200584,-2516.2570637200583,-2370.494135361252,0.28,-14388.010249422503,-24058.567021022507,38584.75000000028,45550.456372005516
4.0,LONG_STRADDLE,200,1,stress,267,-169450.4271090037,-1694.5042710900373,-1453.436428306753,0.3,-9988.3710961845,-14946.840657664976,27920.000000000022,38450.42710900371
6.0,SHORT_CONDOR,200,0,stress,178,-34324.32147996989,-248.72696724615852,-29.925437983752744,0.5,-7136.116424147494,-7136.116424147494,24034.750000000025,37211.57147996985
6.0,SHORT_CONDOR,200,1,stress,15,-3011.111506249969,-430.1587866071383,-570.8355300800004,0.14285714285714285,-780.7832039799991,-1185.4843289499856,1839.9999999999466,4096.111506249999
6.0,LONG_STRADDLE,200,0,stress,334,-216426.59166375312,-2431.7594568961026,-2996.908887042503,0.29213483146067415,-14388.010249422503,-24058.567021022507,36342.00000000026,42352.09166375284
6.0,LONG_STRADDLE,200,1,stress,230,-165281.86300109085,-2015.6324756230595,-1921.0922273900005,0.2682926829268293,-9988.3710961845,-14946.840657664976,24792.0,33627.86300109085
