day,status,bucket,threshold,side,wing
2026-02-04,MISSING_ATM_IV,1.0,,,
2026-02-05,MISSING_ATM_IV,1.0,,,
2026-02-06,MISSING_ATM_IV,1.0,,,
2026-02-11,MISSING_ATM_IV,1.0,,,
2026-02-12,MISSING_ATM_IV,1.0,,,
2026-02-13,MISSING_ATM_IV,1.0,,,
2026-02-18,MISSING_ATM_IV,1.0,,,
2026-02-19,MISSING_ATM_IV,1.0,,,
2026-02-25,MISSING_ATM_IV,1.0,,,
2026-02-26,MISSING_ATM_IV,1.0,,,
2026-02-27,MISSING_ATM_IV,1.0,,,
2026-03-04,MISSING_ATM_IV,1.0,,,
2026-03-05,MISSING_ATM_IV,1.0,,,
2026-03-06,MISSING_ATM_IV,1.0,,,
2026-03-11,MISSING_ATM_IV,1.0,,,
2026-03-12,MISSING_ATM_IV,1.0,,,
2026-03-13,MISSING_ATM_IV,1.0,,,
2026-03-18,MISSING_ATM_IV,1.0,,,
2026-03-19,MISSING_ATM_IV,1.0,,,
2026-03-25,MISSING_ATM_IV,1.0,,,
2026-03-27,MISSING_ATM_IV,1.0,,,
2026-04-01,MISSING_ATM_IV,1.0,,,
2026-04-02,MISSING_ATM_IV,1.0,,,
2026-04-08,MISSING_ATM_IV,1.0,,,
2026-04-09,MISSING_ATM_IV,1.0,,,
2026-04-10,MISSING_ATM_IV,1.0,,,
2026-04-15,MISSING_ATM_IV,1.0,,,
2026-04-16,MISSING_ATM_IV,1.0,,,
2026-04-17,MISSING_ATM_IV,1.0,,,
2026-04-22,MISSING_ATM_IV,1.0,,,
2026-04-23,MISSING_ATM_IV,1.0,,,
2026-04-24,MISSING_ATM_IV,1.0,,,
2026-04-29,MISSING_ATM_IV,1.0,,,
2026-04-30,MISSING_ATM_IV,1.0,,,
2026-05-06,MISSING_ATM_IV,1.0,,,
2026-05-07,MISSING_ATM_IV,1.0,,,
2026-05-08,MISSING_ATM_IV,1.0,,,
2026-05-13,MISSING_ATM_IV,1.0,,,
2026-05-14,MISSING_ATM_IV,1.0,,,
2026-05-15,MISSING_ATM_IV,1.0,,,
2026-05-20,MISSING_ATM_IV,1.0,,,
2026-05-21,MISSING_ATM_IV,1.0,,,
2026-05-22,MISSING_RV_OR_BAR,,,,
2026-05-27,MISSING_ATM_IV,1.0,,,
2026-06-03,MISSING_RV_OR_BAR,,,,
2026-06-04,MISSING_ATM_IV,0.0,,,
2026-06-04,MISSING_ATM_IV,1.0,,,
2026-06-05,MISSING_ATM_IV,0.0,,,
2026-06-05,MISSING_ATM_IV,1.0,,,
2026-06-08,MISSING_ATM_IV,0.0,,,
2026-06-08,MISSING_ATM_IV,1.0,,,
2026-06-09,MISSING_ATM_IV,0.0,,,
2026-06-09,MISSING_ATM_IV,1.0,,,
2026-06-10,MISSING_ATM_IV,0.0,,,
2026-06-10,MISSING_ATM_IV,1.0,,,
2026-06-11,MISSING_ATM_IV,0.0,,,
2026-06-11,MISSING_ATM_IV,1.0,,,
2026-06-12,MISSING_LEG,0.0,2.0,LONG_STRADDLE,200.0
2026-06-12,MISSING_LEG,0.0,4.0,LONG_STRADDLE,200.0
2026-06-12,MISSING_LEG,0.0,6.0,LONG_STRADDLE,200.0
2026-06-12,MISSING_ATM_IV,1.0,,,
2026-06-15,MISSING_ATM_IV,0.0,,,
2026-06-15,MISSING_ATM_IV,1.0,,,
2026-06-16,MISSING_ATM_IV,0.0,,,
2026-06-16,MISSING_ATM_IV,1.0,,,
2026-06-17,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2026-06-17,MISSING_LEG,1.0,4.0,LONG_STRADDLE,200.0
2026-06-17,MISSING_LEG,1.0,6.0,LONG_STRADDLE,200.0
2026-06-18,MISSING_ATM_IV,1.0,,,
2026-06-19,MISSING_ATM_IV,1.0,,,
2026-06-22,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2026-06-22,MISSING_LEG,1.0,4.0,LONG_STRADDLE,200.0
2026-06-22,MISSING_LEG,1.0,6.0,LONG_STRADDLE,200.0
2026-06-23,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2026-06-23,MISSING_LEG,1.0,4.0,LONG_STRADDLE,200.0
2026-06-23,MISSING_LEG,1.0,6.0,LONG_STRADDLE,200.0
2026-06-25,MISSING_LEG,1.0,2.0,LONG_STRADDLE,200.0
2026-06-25,MISSING_LEG,1.0,4.0,LONG_STRADDLE,200.0
2026-06-25,MISSING_LEG,1.0,6.0,LONG_STRADDLE,200.0
