variant_id,entry_date,adjust_date,exit_date,near_expiry,far_expiry,entry_ts,reason,exit_ts,net_pnl,active_legs
09:30:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13454.481064175001,4
09:30:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:29:00,-12585.793372189997,4
09:30:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:29:00,-12585.793372189997,4
09:30:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10803.4378282775,4
09:30:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:29:00,-12585.793372189997,4
09:30:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_POST_ADJUST,2025-09-04 09:39:00,-17631.758664059995,6
09:30:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:31:00,-16714.895796319994,4
09:30:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13201.49500466,4
09:30:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 09:30:00,STOP_PRE_ADJUST,2025-09-04 09:31:00,-16714.895796319994,4
10:00:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-13308.2009086025,4
10:00:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop0.5,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10845.933150185001,4
10:00:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1,2025-09-03,2025-09-04,2025-09-08,2025-09-09,2025-09-16,2025-09-03 10:00:00,STOP_PRE_ADJUST,2025-09-04 09:16:00,-10845.933150185001,4
