variant_id,trades,total_net,mean_trade,win_rate,mean_active_day_net,median_active_day_net,profit_factor,max_drawdown,active_days,mean_weekly_net,median_weekly_net,positive_week_rate,completed_weeks,execution_coverage,target_qualified
10:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,22749.063977646183,733.8407734724575,0.5161290322580645,733.8407734724575,54.576564689999486,1.372125796678455,-24333.452599868993,31,733.8407734724575,54.576564689999486,0.5161290322580645,31,0.96875,False
09:30:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,3522.457684401247,113.62766723874991,0.5483870967741935,113.62766723874991,201.13035351099757,1.066891249469606,-19038.413967846504,31,113.62766723874991,201.13035351099757,0.5483870967741935,31,0.96875,False
10:00:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,1829.7997316757555,59.02579779599211,0.4838709677419355,59.02579779599211,-218.90553835296646,1.0321014586169082,-23396.552759060494,31,59.02579779599211,-218.90553835296646,0.4838709677419355,31,0.96875,False
14:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,32,-6786.70497172276,-212.08453036633625,0.5,-212.08453036633625,48.000914524500445,0.8978506899590408,-32328.734992093498,32,-212.08453036633625,48.000914524500445,0.5,32,1.0,False
13:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-6899.670747440684,-222.5700241109898,0.5161290322580645,-222.5700241109898,140.75292052499958,0.9027881846293924,-22729.431981217513,31,-222.5700241109898,140.75292052499958,0.5161290322580645,31,0.96875,False
10:00:00|p30|DIAGONAL_PREMIUM|adj09:30:00|stop1.5,31,-7645.84335656811,-246.64010827639063,0.45161290322580644,-246.64010827639063,-426.77416425750084,0.8908050034491587,-27158.40225702499,31,-246.64010827639063,-426.77416425750084,0.45161290322580644,31,0.96875,False
14:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,32,-8666.439772817675,-270.82624290055236,0.5,-270.82624290055236,-123.45270016862457,0.8441646878310276,-35175.07437486,32,-270.82624290055236,-123.45270016862457,0.5,32,1.0,False
09:30:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-8856.662961455831,-285.6988052082526,0.5483870967741935,-285.6988052082526,201.13035351099757,0.8638244925624113,-22335.235007041505,31,-285.6988052082526,201.13035351099757,0.5483870967741935,31,0.96875,False
10:00:00|p30|DIAGONAL_PREMIUM|adj10:00:00|stop1.5,31,-9965.592966637489,-321.4707408592738,0.41935483870967744,-321.4707408592738,-379.5375296828395,0.8702501958646647,-37127.83203833499,31,-321.4707408592738,-379.5375296828395,0.41935483870967744,31,0.96875,False
11:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-10006.122232144657,-322.7781365207954,0.4838709677419355,-322.7781365207954,-136.89988684499986,0.8134792763291349,-22493.315835915004,31,-322.7781365207954,-136.89988684499986,0.4838709677419355,31,0.96875,False
09:30:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1,31,-11334.432277705368,-365.62684766791506,0.4838709677419355,-365.62684766791506,-353.2068058350037,0.8504395126514365,-35130.650197931005,31,-365.62684766791506,-353.2068058350037,0.4838709677419355,31,0.96875,False
11:00:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-12348.38072006663,-398.33486193763326,0.4838709677419355,-398.33486193763326,-322.6483054835014,0.8386976064794222,-24742.1599172625,31,-398.33486193763326,-322.6483054835014,0.4838709677419355,31,0.96875,False
09:30:00|p25|DIAGONAL_PREMIUM|adj09:30:00|stop1,31,-16492.770606341368,-532.0248582690764,0.3548387096774194,-532.0248582690764,-708.4260647024989,0.7377450435974928,-20985.3536323915,31,-532.0248582690764,-708.4260647024989,0.3548387096774194,31,0.96875,False
09:30:00|p30|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-17035.835705348487,-549.543087269306,0.5161290322580645,-549.543087269306,267.58500323249814,0.7956439343674436,-29460.092725996,31,-549.543087269306,267.58500323249814,0.5161290322580645,31,0.96875,False
09:30:00|p25|DIAGONAL_PREMIUM|adj10:00:00|stop1,31,-18239.778086097172,-588.3799382611991,0.41935483870967744,-588.3799382611991,-505.45856861999823,0.7253967664132989,-29279.055695116498,31,-588.3799382611991,-505.45856861999823,0.41935483870967744,31,0.96875,False
11:00:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-19717.75351746271,-636.0565650794422,0.45161290322580644,-636.0565650794422,-510.2127357185002,0.7089867887715462,-29203.563556256497,31,-636.0565650794422,-510.2127357185002,0.45161290322580644,31,0.96875,False
13:00:00|p20|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,31,-20627.265542956924,-665.3956626760298,0.45161290322580644,-665.3956626760298,-521.6182566829993,0.6750715412493296,-29196.261473720195,31,-665.3956626760298,-521.6182566829993,0.45161290322580644,31,0.96875,False
14:00:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1.5,32,-22478.01411416551,-702.4379410676722,0.5,-702.4379410676722,-767.5210310547498,0.6742008396539935,-32336.810022249003,32,-702.4379410676722,-767.5210310547498,0.5,32,1.0,False
14:00:00|p25|DIAGONAL_PREMIUM|adj11:00:00|stop1,32,-22484.48974022646,-702.6403043820769,0.5,-702.6403043820769,-767.5210310547498,0.6741375660878854,-31916.736755729005,32,-702.6403043820769,-767.5210310547498,0.5,32,1.0,False
