trade_date,expiry_ref,expiry_derived,spot_ref,spot_raw,exit_spot_raw,atm_ref,atm_derived,lot_ref,lot_derived,gross_ref,gross_recalc,execution_gross_recalc,transaction_cost_ref,transaction_cost_recalc,slippage_ref,net_ref,net_recalc,match,legs
2023-08-18,2023-08-24,2023-08-24,19326.25,19326.25,19312.85,19350,19350,50,50,-717.5,-717.4999999999999,-817.4999999999999,151.16579314499998,151.16579314499998,100.00000000000004,-868.665793145,-868.6657931449998,False,"[{""key"":[""CE"",19550,""BUY"",2],""entry_raw"":18.7,""exit_raw"":13.5,""raw_pnl"":-519.9999999999999,""tc"":49.921499479999994},{""key"":[""PE"",19150,""BUY"",2],""entry_raw"":34.0,""exit_raw"":31.5,""raw_pnl"":-250.0,""tc"":53.14779769999999},{""key"":[""PE"",18950,""SELL"",1],""entry_raw"":10.0,""exit_raw"":8.95,""raw_pnl"":52.500000000000036,""tc"":48.096495964999995}]"
2023-11-03,2023-11-09,2023-11-09,19248.6,19248.6,19233.95,19250,19250,50,50,-752.4999999999998,-752.4999999999998,-852.4999999999998,152.115533505,152.115533505,100.00000000000004,-904.6155335049998,-904.6155335049998,False,"[{""key"":[""CE"",19450,""BUY"",2],""entry_raw"":33.1,""exit_raw"":20.8,""raw_pnl"":-1230.0,""tc"":51.59423826},{""key"":[""PE"",19050,""BUY"",2],""entry_raw"":24.95,""exit_raw"":29.85,""raw_pnl"":490.0000000000002,""tc"":52.51209632},{""key"":[""PE"",18850,""SELL"",1],""entry_raw"":8.75,""exit_raw"":9.0,""raw_pnl"":-12.5,""tc"":48.00919892500001}]"
2024-01-19,2024-01-25,2024-01-25,21655.75,21655.75,21613.95,21650,21650,50,50,-1882.500000000001,-1882.5000000000007,-1982.500000000002,170.934324395,170.934324395,100.00000000000102,-2053.4343243950007,-2053.4343243950007,False,"[{""key"":[""CE"",21850,""BUY"",2],""entry_raw"":86.4,""exit_raw"":71.8,""raw_pnl"":-1460.000000000001,""tc"":61.17772788},{""key"":[""PE"",21450,""BUY"",2],""entry_raw"":70.6,""exit_raw"":64.8,""raw_pnl"":-579.9999999999998,""tc"":59.48519036},{""key"":[""PE"",21250,""SELL"",1],""entry_raw"":33.9,""exit_raw"":30.75,""raw_pnl"":157.49999999999994,""tc"":50.271406155}]"
2024-04-08,2024-04-10,2024-04-10,22584.0,22584.0,22661.55,22600,22600,50,50,-559.9999999999993,-559.9999999999993,-659.9999999999998,153.67523589,153.67523589,100.0000000000004,-713.6752358899994,-713.6752358899994,False,"[{""key"":[""CE"",22800,""BUY"",2],""entry_raw"":24.9,""exit_raw"":34.95,""raw_pnl"":1005.0000000000005,""tc"":53.23128599},{""key"":[""PE"",22400,""BUY"",2],""entry_raw"":40.55,""exit_raw"":21.75,""raw_pnl"":-1879.9999999999998,""tc"":52.05979682},{""key"":[""PE"",22200,""SELL"",1],""entry_raw"":14.35,""exit_raw"":8.05,""raw_pnl"":314.99999999999994,""tc"":48.384153080000004}]"
2024-06-27,2024-06-27,2024-06-27,23819.7,23819.7,24024.85,23800,23800,25,25,208.74999999999977,208.74999999999977,158.75,144.3970426175,144.3970426175,49.99999999999978,64.35295738249977,64.35295738249977,False,"[{""key"":[""CE"",24000,""BUY"",2],""entry_raw"":15.55,""exit_raw"":29.9,""raw_pnl"":717.4999999999999,""tc"":49.650653514999995},{""key"":[""PE"",23600,""BUY"",2],""entry_raw"":11.55,""exit_raw"":0.2,""raw_pnl"":-567.5000000000001,""tc"":47.461163725000006},{""key"":[""PE"",23400,""SELL"",1],""entry_raw"":2.5,""exit_raw"":0.15,""raw_pnl"":58.75,""tc"":47.2852253775}]"
2024-09-12,2024-09-12,2024-09-12,25058.15,25058.15,25415.45,25050,25050,25,25,7432.499999999999,7432.5,7382.499999999999,153.33252568,153.33252568,50.000000000000966,7279.167474319999,7279.16747432,False,"[{""key"":[""CE"",25250,""BUY"",2],""entry_raw"":6.1,""exit_raw"":161.2,""raw_pnl"":7755.0,""tc"":58.727026910000006},{""key"":[""PE"",24850,""BUY"",2],""entry_raw"":7.15,""exit_raw"":0.3,""raw_pnl"":-342.5,""tc"":47.370438914999994},{""key"":[""PE"",24650,""SELL"",1],""entry_raw"":1.05,""exit_raw"":0.25,""raw_pnl"":20.0,""tc"":47.235059855}]"
2024-11-29,2024-12-05,2024-12-05,24027.55,24027.55,24140.55,24050,24050,75,75,-3528.75,-3528.75,-3678.750000000002,200.9663623575,200.9663623575,150.00000000000273,-3729.7163623575,-3729.7163623575,False,"[{""key"":[""CE"",24250,""BUY"",2],""entry_raw"":111.1,""exit_raw"":126.3,""raw_pnl"":2280.0000000000005,""tc"":81.37740574},{""key"":[""PE"",23850,""BUY"",2],""entry_raw"":107.15,""exit_raw"":51.1,""raw_pnl"":-8407.5,""tc"":65.158075825},{""key"":[""PE"",23650,""SELL"",1],""entry_raw"":60.25,""exit_raw"":25.6,""raw_pnl"":2598.75,""tc"":54.430880792500005}]"
2025-02-11,2025-02-13,2025-02-13,23314.7,23314.7,23080.95,23300,23300,75,75,-1807.5,-1807.5,-1957.5000000000011,179.20303515,179.20303515,150.00000000000114,-1986.70303515,-1986.70303515,False,"[{""key"":[""CE"",23500,""BUY"",2],""entry_raw"":72.75,""exit_raw"":16.4,""raw_pnl"":-8452.5,""tc"":55.50163091500001},{""key"":[""PE"",23100,""BUY"",2],""entry_raw"":53.35,""exit_raw"":105.7,""raw_pnl"":7852.5,""tc"":73.155719905},{""key"":[""PE"",22900,""SELL"",1],""entry_raw"":20.25,""exit_raw"":36.35,""raw_pnl"":-1207.5,""tc"":50.54568433}]"
2025-05-06,2025-05-08,2025-05-08,24433.1,24433.1,24398.85,24450,24450,75,75,-914.9999999999998,-914.9999999999998,-1065.0000000000002,160.65946104,160.65946104,150.00000000000057,-1075.6594610399998,-1075.6594610399998,False,"[{""key"":[""CE"",24650,""BUY"",2],""entry_raw"":20.9,""exit_raw"":10.9,""raw_pnl"":-1499.9999999999998,""tc"":50.87727718},{""key"":[""PE"",24250,""BUY"",2],""entry_raw"":39.5,""exit_raw"":44.0,""raw_pnl"":675.0,""tc"":59.140688350000005},{""key"":[""PE"",24050,""SELL"",1],""entry_raw"":24.5,""exit_raw"":25.7,""raw_pnl"":-89.99999999999994,""tc"":50.64149551}]"
2025-07-18,2025-07-24,2025-07-24,25071.85,25071.85,24968.4,25050,25050,75,75,-720.0000000000006,-720.0000000000009,-870.0000000000027,174.118411125,174.118411125,150.00000000000182,-894.1184111250005,-894.1184111250009,False,"[{""key"":[""CE"",25250,""BUY"",2],""entry_raw"":64.4,""exit_raw"":42.8,""raw_pnl"":-3240.0000000000014,""tc"":60.54640671999999},{""key"":[""PE"",24850,""BUY"",2],""entry_raw"":42.25,""exit_raw"":63.95,""raw_pnl"":3255.0000000000005,""tc"":63.55705162},{""key"":[""PE"",24650,""SELL"",1],""entry_raw"":17.95,""exit_raw"":27.75,""raw_pnl"":-735.0,""tc"":50.014952785}]"
2025-10-06,2025-10-07,2025-10-07,24900.45,24900.45,25081.75,24900,24900,75,75,5028.75,5028.75,4878.749999999999,154.5803101125,154.5803101125,150.0000000000007,4874.1696898875,4874.1696898875,False,"[{""key"":[""CE"",25100,""BUY"",2],""entry_raw"":8.4,""exit_raw"":49.25,""raw_pnl"":6127.5,""tc"":58.18088276500001},{""key"":[""PE"",24700,""BUY"",2],""entry_raw"":11.5,""exit_raw"":3.75,""raw_pnl"":-1162.5,""tc"":48.733396524999996},{""key"":[""PE"",24500,""SELL"",1],""entry_raw"":3.65,""exit_raw"":2.8,""raw_pnl"":63.75000000000001,""tc"":47.6660308225}]"
2025-12-29,2025-12-30,2025-12-30,26054.05,26054.05,25942.05,26050,26050,75,75,888.7499999999998,888.7499999999998,738.7499999999999,146.7233174175,146.7233174175,149.9999999999999,742.0266825824998,742.0266825824998,False,"[{""key"":[""CE"",26250,""BUY"",2],""entry_raw"":8.0,""exit_raw"":3.7,""raw_pnl"":-645.0,""tc"":48.48940716999999},{""key"":[""PE"",25850,""BUY"",2],""entry_raw"":4.9,""exit_raw"":15.45,""raw_pnl"":1582.4999999999998,""tc"":50.77581503500001},{""key"":[""PE"",25650,""SELL"",1],""entry_raw"":1.8,""exit_raw"":2.45,""raw_pnl"":-48.75000000000001,""tc"":47.4580952125}]"
2026-03-16,2026-03-17,2026-03-17,23159.5,23159.5,23442.2,23150,23150,65,65,7244.249999999998,7244.25,7114.249999999998,200.907209656045,200.907209656045,130.00000000000136,7043.342790343953,7043.342790343955,False,"[{""key"":[""CE"",23350,""BUY"",2],""entry_raw"":99.0,""exit_raw"":196.6,""raw_pnl"":12688.0,""tc"":89.27527240696},{""key"":[""PE"",22950,""BUY"",2],""entry_raw"":93.25,""exit_raw"":35.35,""raw_pnl"":-7527.0,""tc"":59.16275088476},{""key"":[""PE"",22750,""SELL"",1],""entry_raw"":51.15,""exit_raw"":19.1,""raw_pnl"":2083.25,""tc"":52.469186364325004}]"
2026-07-02,2026-07-07,2026-07-07,24110.1,24110.1,24180.5,24100,24100,65,65,-1462.500000000001,-1462.500000000001,-1592.5000000000018,174.00926799214,174.00926799214,130.00000000000114,-1636.5092679921408,-1636.5092679921408,False,"[{""key"":[""CE"",24300,""BUY"",2],""entry_raw"":59.5,""exit_raw"":65.35,""raw_pnl"":760.4999999999993,""tc"":66.96091488501},{""key"":[""PE"",23900,""BUY"",2],""entry_raw"":49.7,""exit_raw"":27.6,""raw_pnl"":-2873.0,""tc"":56.96253940818},{""key"":[""PE"",23700,""SELL"",1],""entry_raw"":20.75,""exit_raw"":10.75,""raw_pnl"":650.0,""tc"":50.08581369895}]"
