trade_date,expiry_ref,expiry_derived,spot_ref,spot_raw,exit_spot_raw,atm_ref,atm_derived,lot_ref,lot_derived,gross_ref,gross_recalc,execution_gross_recalc,transaction_cost_ref,transaction_cost_recalc,slippage_ref,net_ref,net_recalc,match,legs
2021-09-30,2021-09-30,2021-09-30,17663.35,17663.35,17634.7,17650,17650,50,50,-957.5,-957.5,-1047.5,142.186286455,142.200431795,100.0,-1099.686286455,-1099.700431795,False,"[{""key"":[""CE"",17850,""BUY"",2],""entry_raw"":6.0,""exit_raw"":0.15,""raw_pnl"":-585.0,""tc"":47.47561108000001},{""key"":[""PE"",17450,""BUY"",2],""entry_raw"":4.6,""exit_raw"":0.15,""raw_pnl"":-444.99999999999994,""tc"":47.41337632},{""key"":[""PE"",17250,""SELL"",1],""entry_raw"":1.65,""exit_raw"":0.2,""raw_pnl"":72.5,""tc"":47.311444394999995}]"
2022-07-01,2022-07-07,2022-07-07,15689.75,15689.75,15734.75,15700,15700,50,50,-1617.500000000001,-1617.5000000000014,-1717.5000000000025,176.04979930500002,176.04979930500002,100.00000000000114,-1793.549799305001,-1793.5497993050014,False,"[{""key"":[""CE"",15900,""BUY"",2],""entry_raw"":68.95,""exit_raw"":79.35,""raw_pnl"":1039.999999999999,""tc"":61.46998922},{""key"":[""PE"",15500,""BUY"",2],""entry_raw"":111.5,""exit_raw"":72.3,""raw_pnl"":-3920.0000000000005,""tc"":62.36423492},{""key"":[""PE"",15300,""SELL"",1],""entry_raw"":60.1,""exit_raw"":34.85,""raw_pnl"":1262.5,""tc"":52.215575165000004}]"
2023-07-03,2023-07-06,2023-07-06,19284.2,19284.2,19312.25,19300,19300,50,50,-310.00000000000017,-310.00000000000017,-409.99999999999983,149.18134958000002,149.18134958000002,99.99999999999967,-459.1813495800002,-459.1813495800002,False,"[{""key"":[""CE"",19500,""BUY"",2],""entry_raw"":11.9,""exit_raw"":14.2,""raw_pnl"":229.9999999999999,""tc"":49.71823374},{""key"":[""PE"",19100,""BUY"",2],""entry_raw"":26.0,""exit_raw"":20.75,""raw_pnl"":-525.0,""tc"":51.271546449999995},{""key"":[""PE"",18900,""SELL"",1],""entry_raw"":10.7,""exit_raw"":11.0,""raw_pnl"":-15.000000000000036,""tc"":48.19156939}]"
2024-07-03,2024-07-04,2024-07-04,24231.15,24231.15,24283.9,24250,24250,25,25,-993.7499999999998,-993.7499999999998,-1043.75,145.34756121750002,145.34756121750002,50.000000000000156,-1139.0975612174998,-1139.0975612174998,False,"[{""key"":[""CE"",24450,""BUY"",2],""entry_raw"":17.0,""exit_raw"":17.05,""raw_pnl"":2.5000000000000355,""tc"":48.774044135},{""key"":[""PE"",24050,""BUY"",2],""entry_raw"":37.05,""exit_raw"":13.3,""raw_pnl"":-1187.4999999999998,""tc"":48.954464345000005},{""key"":[""PE"",23850,""SELL"",1],""entry_raw"":10.95,""exit_raw"":3.3,""raw_pnl"":191.25,""tc"":47.6190527375}]"
2025-06-27,2025-07-03,2025-07-03,25537.3,25537.3,25631.3,25550,25550,75,75,-3836.249999999998,-3836.249999999998,-3986.25,188.8889798025,188.8889798025,150.00000000000205,-4025.1389798024975,-4025.1389798024984,False,"[{""key"":[""CE"",25750,""BUY"",2],""entry_raw"":86.1,""exit_raw"":92.0,""raw_pnl"":885.0000000000009,""tc"":72.43262580999999},{""key"":[""PE"",25350,""BUY"",2],""entry_raw"":90.8,""exit_raw"":47.1,""raw_pnl"":-6554.999999999999,""tc"":63.219135789999996},{""key"":[""PE"",25150,""SELL"",1],""entry_raw"":49.25,""exit_raw"":24.8,""raw_pnl"":1833.75,""tc"":53.237218202499996}]"
2026-03-18,2026-03-24,2026-03-24,23714.8,23714.8,23795.9,23700,23700,65,65,1891.500000000001,1891.5000000000005,1761.500000000004,220.84780726369,220.84780726369002,129.99999999999636,1670.652192736311,1670.6521927363106,False,"[{""key"":[""CE"",23900,""BUY"",2],""entry_raw"":130.75,""exit_raw"":160.75,""raw_pnl"":3900.0,""tc"":84.5145067139},{""key"":[""PE"",23500,""BUY"",2],""entry_raw"":143.85,""exit_raw"":119.7,""raw_pnl"":-3139.499999999999,""tc"":77.70145406243},{""key"":[""PE"",23300,""SELL"",1],""entry_raw"":98.3,""exit_raw"":80.9,""raw_pnl"":1130.9999999999995,""tc"":58.63184648736001}]"
2021-07-01,2021-07-01,2021-07-01,15717.95,15717.95,15675.4,15700,15700,50,50,-317.5,-317.5,-397.5,141.77629760500002,141.80458828500002,100.00000000000009,-459.276297605,-459.304588285,False,"[{""key"":[""CE"",15900,""BUY"",2],""entry_raw"":2.2,""exit_raw"":0.1,""raw_pnl"":-210.0,""tc"":47.30668816000001},{""key"":[""PE"",15500,""BUY"",2],""entry_raw"":1.4,""exit_raw"":0.1,""raw_pnl"":-129.99999999999997,""tc"":47.271125440000006},{""key"":[""PE"",15300,""SELL"",1],""entry_raw"":0.5,""exit_raw"":0.05,""raw_pnl"":22.5,""tc"":47.226774684999995}]"
2021-09-16,2021-09-16,2021-09-16,17559.8,17559.8,17638.55,17550,17550,50,50,-297.49999999999994,-297.5,-392.5,141.87430333499998,141.881376005,100.00000000000001,-439.3743033349999,-439.381376005,False,"[{""key"":[""CE"",17750,""BUY"",2],""entry_raw"":1.25,""exit_raw"":0.15,""raw_pnl"":-110.00000000000001,""tc"":47.26445743},{""key"":[""PE"",17350,""BUY"",2],""entry_raw"":2.65,""exit_raw"":0.2,""raw_pnl"":-244.99999999999997,""tc"":47.32669219},{""key"":[""PE"",17150,""SELL"",1],""entry_raw"":1.35,""exit_raw"":0.2,""raw_pnl"":57.50000000000001,""tc"":47.290226385}]"
2021-12-08,2021-12-09,2021-12-09,17378.65,17378.65,17472.9,17400,17400,50,50,-1280.0,-1280.0000000000005,-1380.0,147.09815809,147.09815809,99.9999999999996,-1427.09815809,-1427.0981580900004,False,"[{""key"":[""CE"",17600,""BUY"",2],""entry_raw"":12.05,""exit_raw"":13.85,""raw_pnl"":179.9999999999999,""tc"":49.675393060000005},{""key"":[""PE"",17200,""BUY"",2],""entry_raw"":25.1,""exit_raw"":8.25,""raw_pnl"":-1685.0000000000002,""tc"":49.46337088999999},{""key"":[""PE"",17000,""SELL"",1],""entry_raw"":9.35,""exit_raw"":4.85,""raw_pnl"":225.0,""tc"":47.95939413999999}]"
2022-02-21,2022-02-24,2022-02-24,17110.05,17110.05,17196.75,17100,17100,50,50,-2340.0,-2340.0,-2440.000000000001,178.07202234000002,178.07202234000002,100.00000000000148,-2518.07202234,-2518.07202234,False,"[{""key"":[""CE"",17300,""BUY"",2],""entry_raw"":97.35,""exit_raw"":100.75,""raw_pnl"":340.00000000000057,""tc"":65.75956854},{""key"":[""PE"",16900,""BUY"",2],""entry_raw"":100.4,""exit_raw"":61.0,""raw_pnl"":-3940.0000000000005,""tc"":60.27237876},{""key"":[""PE"",16700,""SELL"",1],""entry_raw"":58.2,""exit_raw"":33.0,""raw_pnl"":1260.0000000000002,""tc"":52.040075040000005}]"
2022-05-11,2022-05-12,2022-05-12,16307.2,16307.2,16161.45,16300,16300,50,50,-280.00000000000006,-280.0,-380.00000000000097,154.68015018,154.68015018,100.00000000000094,-434.68015018000006,-434.68015018,False,"[{""key"":[""CE"",16500,""BUY"",2],""entry_raw"":28.1,""exit_raw"":4.85,""raw_pnl"":-2325.0,""tc"":49.11578953},{""key"":[""PE"",16100,""BUY"",2],""entry_raw"":36.7,""exit_raw"":59.6,""raw_pnl"":2290.0,""tc"":57.24266242},{""key"":[""PE"",15900,""SELL"",1],""entry_raw"":11.0,""exit_raw"":15.9,""raw_pnl"":-245.00000000000003,""tc"":48.321698229999996}]"
2022-07-25,2022-07-28,2022-07-28,16675.7,16675.7,16646.2,16700,16700,50,50,-1480.0000000000005,-1480.0000000000005,-1580.000000000001,157.10519267,157.10519267,100.00000000000071,-1637.1051926700004,-1637.1051926700004,False,"[{""key"":[""CE"",16900,""BUY"",2],""entry_raw"":34.35,""exit_raw"":22.5,""raw_pnl"":-1185.0000000000002,""tc"":51.890275790000004},{""key"":[""PE"",16500,""BUY"",2],""entry_raw"":53.2,""exit_raw"":48.1,""raw_pnl"":-510.0000000000001,""tc"":56.34942942},{""key"":[""PE"",16300,""SELL"",1],""entry_raw"":19.05,""exit_raw"":14.75,""raw_pnl"":215.00000000000003,""tc"":48.86548746}]"
2022-10-12,2022-10-13,2022-10-13,17053.45,17053.45,17133.05,17050,17050,50,50,-1024.9999999999995,-1024.9999999999998,-1124.9999999999998,151.07475152,151.07475152,100.0,-1176.0747515199996,-1176.0747515199998,False,"[{""key"":[""CE"",17250,""BUY"",2],""entry_raw"":28.0,""exit_raw"":33.75,""raw_pnl"":575.0,""tc"":53.199347450000005},{""key"":[""PE"",16850,""BUY"",2],""entry_raw"":29.9,""exit_raw"":11.8,""raw_pnl"":-1809.9999999999998,""tc"":50.178906780000005},{""key"":[""PE"",16650,""SELL"",1],""entry_raw"":6.45,""exit_raw"":2.25,""raw_pnl"":210.0,""tc"":47.696497289999996}]"
2022-12-28,2022-12-29,2022-12-29,18089.4,18089.4,18149.0,18100,18100,50,50,-1772.4999999999995,-1772.4999999999995,-1872.4999999999995,145.82518901499998,145.82518901499998,99.99999999999989,-1918.3251890149995,-1918.3251890149995,False,"[{""key"":[""CE"",18300,""BUY"",2],""entry_raw"":9.85,""exit_raw"":6.9,""raw_pnl"":-294.99999999999994,""tc"":48.59449445},{""key"":[""PE"",17900,""BUY"",2],""entry_raw"":25.15,""exit_raw"":7.5,""raw_pnl"":-1764.9999999999998,""tc"":49.359503509999996},{""key"":[""PE"",17700,""SELL"",1],""entry_raw"":8.7,""exit_raw"":2.95,""raw_pnl"":287.49999999999994,""tc"":47.871191055}]"
2023-03-14,2023-03-16,2023-03-16,17184.55,17184.55,17036.55,17200,17200,50,50,-114.99999999999898,-114.99999999999989,-215.00000000000028,157.63708291,157.63708291,100.0000000000004,-272.637082909999,-272.6370829099999,False,"[{""key"":[""CE"",17400,""BUY"",2],""entry_raw"":33.95,""exit_raw"":11.7,""raw_pnl"":-2225.0000000000005,""tc"":50.344797709999995},{""key"":[""PE"",17000,""BUY"",2],""entry_raw"":43.75,""exit_raw"":65.4,""raw_pnl"":2165.0000000000005,""tc"":58.376488609999996},{""key"":[""PE"",16800,""SELL"",1],""entry_raw"":18.3,""exit_raw"":19.4,""raw_pnl"":-54.99999999999989,""tc"":48.91579659}]"
2023-06-01,2023-06-01,2023-06-01,18518.75,18518.75,18493.7,18500,18500,50,50,-287.5,-287.5,-367.5,141.795495275,141.823785955,100.00000000000006,-429.295495275,-429.323785955,False,"[{""key"":[""CE"",18700,""BUY"",2],""entry_raw"":1.9,""exit_raw"":0.1,""raw_pnl"":-179.99999999999997,""tc"":47.293352139999996},{""key"":[""PE"",18300,""BUY"",2],""entry_raw"":1.55,""exit_raw"":0.1,""raw_pnl"":-145.0,""tc"":47.277793450000004},{""key"":[""PE"",18100,""SELL"",1],""entry_raw"":0.85,""exit_raw"":0.1,""raw_pnl"":37.5,""tc"":47.252640365}]"
