variant_id,trades,active_days,mean_active_day_net,win_rate,positive_day_rate,profit_factor,max_drawdown,total_net
gap0.75|09:45:00|MONTH|w1|h15|r1,292,292,-136.479621,0.023973,0.023973,0.041135,-39899.109053,-39852.049308
gap0.75|09:45:00|MONTH|w2|h15|r1,274,274,-140.076356,0.076642,0.076642,0.104601,-38575.848413,-38380.921473
gap0.75|09:45:00|MONTH|w2|h15|r0,274,274,-141.397608,0.072993,0.072993,0.093911,-38937.871396,-38742.871396
gap0.75|09:45:00|MONTH|w1|h30|r1,292,292,-145.406805,0.023973,0.023973,0.038708,-42505.846782,-42458.787038
gap0.75|09:45:00|MONTH|w1|h45|r1,292,292,-145.406805,0.023973,0.023973,0.038708,-42505.846782,-42458.787038
gap0.75|09:45:00|MONTH|w1|h60|r1,292,292,-145.406805,0.023973,0.023973,0.038708,-42505.846782,-42458.787038
gap0.75|09:45:00|MONTH|w2|h30|r1,274,274,-149.102726,0.076642,0.076642,0.098895,-41049.073841,-40854.146900
gap0.75|09:45:00|MONTH|w2|h45|r1,274,274,-149.102726,0.076642,0.076642,0.098895,-41049.073841,-40854.146900
gap0.75|09:45:00|MONTH|w2|h60|r1,274,274,-149.102726,0.076642,0.076642,0.098895,-41049.073841,-40854.146900
gap0.75|09:45:00|MONTH|w1|h15|r0,292,292,-149.549911,0.017123,0.017123,0.033208,-43668.573888,-43668.573888
