feature,threshold,bucket,true_mean_weekly,null_mean_weekly_avg,null_sd,null_better_or_equal,true_total_net
VOL_IMB,0.20,0,-650.39,-200.66,159.90,5,-155443.73
VOL_IMB,0.20,1,-569.17,-314.60,48.28,5,-120665.00
VOL_IMB,0.40,0,-191.41,-3.81,215.54,4,-18566.48
VOL_IMB,0.40,1,-350.93,-252.00,35.34,5,-36145.29
OI_CHANGE_IMB,0.20,0,-689.56,-195.89,203.67,5,-170320.28
OI_CHANGE_IMB,0.20,1,-671.16,-381.13,95.16,5,-151010.19
OI_CHANGE_IMB,0.40,0,-494.66,-278.20,52.41,5,-88544.89
OI_CHANGE_IMB,0.40,1,-443.78,-276.25,117.36,5,-76773.72
JOINT,0.20,0,-476.22,-90.33,46.29,5,-102864.34
JOINT,0.20,1,-580.16,-307.41,48.31,5,-114291.66
JOINT,0.40,0,-705.68,-196.33,330.15,5,-58571.75
JOINT,0.40,1,-408.59,-218.70,53.05,5,-44128.10
